Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Indian Wells F,L vs Sinner,63% (12/19),- (0/0),0/0,0/0,100% (2/2),1/3,0/1,62% (8/13),17% (2/12)
2026 Indian Wells SF,W vs Alcaraz,67% (10/15),100% (2/2),2/4,1/3,80% (4/5),2/2,0/0,100% (5/5),40% (2/5)
2026 Indian Wells QF,W vs Draper,91% (10/11),60% (3/5),2/3,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2026 Indian Wells R32,W vs Baez,67% (8/12),31% (4/13),2/6,1/1,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2026 Indian Wells R64,W vs Tabilo,75% (9/12),38% (3/8),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2026 Dubai SF,W vs Auger Aliassime,69% (9/13),75% (3/4),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2026 Dubai QF,W vs Brooksby,64% (7/11),45% (5/11),2/4,1/3,- (0/0),0/0,0/0,- (0/0),- (0/0)
2026 Dubai R16,W vs Wawrinka,86% (6/7),50% (6/12),2/2,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2026 Dubai R32,W vs Shang,89% (8/9),80% (4/5),2/2,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2026 Doha R16,L vs Tsitsipas,54% (7/13),- (0/0),0/0,0/0,71% (5/7),2/4,0/1,- (0/0),- (0/0)
2026 Rotterdam R32,L vs Humbert,67% (14/21),13% (1/8),1/2,0/0,80% (4/5),2/4,1/2,50% (3/6),20% (1/5)
2026 Australian Open R16,L vs Tien,43% (6/14),100% (1/1),0/0,0/0,30% (3/10),2/5,1/2,- (0/0),- (0/0)
2026 Australian Open R128,W vs De Jong,63% (12/19),54% (7/13),3/4,1/2,60% (6/10),0/0,0/0,100% (4/4),60% (3/5)
2026 Brisbane F,W vs Nakashima,56% (9/16),60% (3/5),2/7,1/3,75% (3/4),0/0,0/0,75% (3/4),100% (4/4)
2026 Brisbane SF,W vs Michelsen,53% (8/15),50% (4/8),2/2,1/1,88% (7/8),0/0,0/0,- (0/0),- (0/0)
2026 Brisbane QF,W vs Majchrzak,70% (14/20),44% (4/9),2/3,1/2,83% (5/6),0/1,0/0,17% (1/6),60% (3/5)
2026 Brisbane R16,W vs Tiafoe,64% (9/14),50% (3/6),2/3,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2026 Brisbane R32,W vs Fucsovics,86% (6/7),60% (6/10),2/3,1/2,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2025 Paris R64,W vs Munar,53% (8/15),57% (4/7),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Almaty F,W vs Moutet,72% (13/18),44% (4/9),2/2,1/1,40% (2/5),0/1,0/0,- (0/0),- (0/0)
2026 (18 matches),,66.1%,49.2%,58.8%,56.0%,69.4%,47.4%,33.3%,63.2%,41.7%
2025 (29 matches),,70.3%,37.8%,52.9%,48.7%,62.7%,45.8%,41.2%,52.8%,41.1%
2024 (39 matches),,63.0%,44.0%,59.5%,64.3%,60.7%,46.2%,45.5%,71.0%,41.7%
2023 (80 matches),,64.4%,46.5%,56.9%,52.1%,66.1%,48.2%,34.6%,63.0%,36.6%
2022 (44 matches),,64.2%,41.3%,55.6%,60.0%,68.3%,60.6%,60.0%,71.3%,32.1%
Career (568 matches),,65.0%,43.9%,57.3%,57.6%,63.5%,46.8%,44.7%,65.2%,38.1%
