Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2017,957,11,,,,,,,,,,,,
2016,1487,2,,,,,,,,,950,33,,
2015,817,24,,,,,,,,,1268,17,,
2014,1071,9,,,,,,,,,476,120,,
2013,938,13,,,,,,,,,1244,15,,
2012,950,10,,,,,,,,,882,33,,
2011,590,39,,,,,,,,,1011,23,,
2010,459,72,236,1500,221,1452,,,,,573,75,,
2009,282,156,174,1577,167,1529,259,1418,,,222,296,,
2008,509,52,213,1516,200,1475,,,,,,,,
2007,241,167,167,1579,133,1557,,,146,1497,604,60,,
2006,471,60,,,,,,,,,567,65,,
2005,272,125,195,1542,167,1516,261,1391,148,1488,122,442,,
2004,212,197,169,1575,139,1562,252,1420,125,1524,537,67,,
2003,205,175,127,1632,116,1589,166,1537,92,1575,326,133,,
2002,136,282,149,1611,116,1603,180,1517,155,1480,339,110,,
2001,225,161,119,1665,122,1607,,,144,1519,271,188,,
2000,160,244,77,1756,63,1720,,,,,438,81,,
1999,262,154,200,1565,173,1535,247,1433,159,1449,435,101,,
1998,115,415,103,1712,86,1674,188,1526,,,165,402,,
1997,272,140,181,1594,135,1600,,,,,233,265,,
1996,517,40,,,,,,,,,233,246,,
1995,487,,,,,,,,,,273,178,,
1994,1219,1,,,,,,,,,476,75,,
1993,,,,,,,,,,,835,16,,
1992,1097,1,,,,,,,,,,,,
