Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Ningbo R32,W vs Mboko,31,49,0.6,18.2%,28.8%,29,40,0.7,19.1%,26.3%,13.8%,4.6%,0.1,1.8%,17.6%
2025 Hamburg SF,L vs Boisson,20,35,0.6,15.3%,26.7%,20,32,0.6,16.1%,25.8%,9.7%,6.5%,0.8,8.4%,10.7%
2025 Wimbledon R128,W vs Gauff,15,23,0.7,12.9%,19.8%,13,20,0.7,13.0%,20.0%,6.0%,7.0%,0.2,3.4%,21.6%
2025 Nottingham F,L vs Kessler,26,36,0.7,17.9%,24.8%,21,34,0.6,15.7%,25.4%,9.7%,6.0%,0.8,7.6%,9.0%
2025 Indian Wells R32,L vs Swiatek,11,32,0.3,12.0%,34.8%,10,28,0.4,11.8%,32.9%,3.5%,8.2%,0.7,13.0%,18.5%
2025 Linz F,L vs Alexandrova,32,43,0.7,18.1%,24.3%,29,35,0.8,18.0%,21.7%,8.1%,9.3%,0.5,4.5%,9.6%
2024 US Open R128,L vs Niemeier,33,77,0.4,13.2%,30.8%,27,68,0.4,12.6%,31.6%,7.0%,5.1%,0.3,10.0%,32.4%
2024 Wimbledon R32,L vs Vekic,34,39,0.9,14.3%,16.4%,29,35,0.8,13.4%,16.2%,9.7%,3.2%,0.6,10.1%,16.4%
2024 Wimbledon R64,W vs Gracheva,35,41,0.9,15.0%,17.6%,29,37,0.8,13.7%,17.5%,9.0%,3.8%,1.0,6.9%,6.9%
2024 Wimbledon R128,W vs Podoroska,26,31,0.8,19.7%,23.5%,22,27,0.8,17.7%,21.8%,11.3%,6.5%,0.3,8.3%,24.2%
2024 Rome R32,L vs Sabalenka,14,32,0.4,11.7%,26.7%,12,28,0.4,10.9%,25.5%,4.5%,6.4%,0.7,10.0%,15.0%
2024 San Diego R16,L vs Blinkova,23,30,0.8,17.4%,22.7%,17,27,0.6,14.4%,22.9%,10.2%,4.2%,0.5,6.1%,11.4%
2024 Australian Open SF,L vs Zheng,17,16,1.1,13.1%,12.3%,14,11,1.3,12.2%,9.6%,6.1%,6.1%,0.9,9.2%,10.0%
2024 Australian Open QF,W vs Noskova,19,22,0.9,16.4%,19.0%,16,19,0.8,15.4%,18.3%,9.6%,5.8%,0.3,5.2%,19.0%
2024 Australian Open R16,W vs Azarenka,35,27,1.3,21.9%,16.9%,30,21,1.4,21.1%,14.8%,14.8%,6.3%,0.9,8.8%,10.0%
2024 Australian Open R32,W vs Navarro,33,34,1.0,21.7%,22.4%,28,31,0.9,19.9%,22.0%,7.8%,10.6%,0.3,3.3%,9.9%
2024 Australian Open Q3,W vs Joint,23,40,0.6,14.1%,24.5%,22,34,0.6,14.8%,22.8%,8.1%,6.7%,0.5,8.6%,16.0%
2023 Palermo R32,W vs Ristic,36,17,2.1,30.8%,14.5%,34,12,2.8,31.2%,11.0%,20.2%,11.0%,0.7,3.4%,5.1%
2023 Roland Garros R128,L vs Vekic,19,27,0.7,16.1%,22.9%,19,24,0.8,18.1%,22.9%,12.4%,5.7%,0.9,12.7%,14.4%
2022 US Open R128,L vs Keys,17,31,0.5,10.9%,19.9%,16,28,0.6,11.1%,19.4%,6.9%,3.5%,0.6,7.1%,11.5%
Career (72 matches),,1846,2488,0.7,17.5%,23.6%,1616,2143,0.8,17.1%,22.7%,9.4%,6.5%,0.5,7.2%,15.0%
