Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Ningbo R32,W vs Mboko,22.7%,35.2%,47.5%,20.8%,37.5%,42.1%,36.4%,53.8%,60.0%,32.3%,41.9%,57.1%,23.1%,22.2%,0.0%,167
2025 Hamburg SF,L vs Boisson,14.3%,23.8%,49.0%,15.0%,27.5%,55.9%,27.8%,72.7%,-,15.0%,20.0%,35.3%,50.0%,75.0%,66.7%,31
2025 Wimbledon R128,W vs Gauff,25.9%,37.9%,57.5%,29.4%,38.2%,50.0%,68.8%,44.4%,-,23.8%,42.9%,68.8%,85.7%,42.9%,-,47
2025 Nottingham F,L vs Kessler,20.7%,36.6%,44.4%,27.3%,45.5%,47.5%,44.0%,60.0%,87.5%,8.0%,20.0%,39.1%,41.7%,84.6%,100.0%,-33
2025 Indian Wells R32,L vs Swiatek,22.0%,30.0%,31.4%,12.5%,21.9%,32.1%,30.0%,63.6%,100.0%,50.0%,57.1%,28.6%,0.0%,50.0%,-,164
2025 Linz F,L vs Alexandrova,29.6%,34.6%,46.9%,41.9%,46.5%,40.0%,33.3%,77.3%,75.0%,20.0%,26.7%,54.2%,28.6%,56.3%,-,63
2024 Rome R32,L vs Sabalenka,28.6%,35.7%,43.5%,28.6%,38.1%,46.7%,30.0%,40.9%,75.0%,33.3%,37.5%,37.5%,50.0%,57.1%,66.7%,68
2024 San Diego R16,L vs Blinkova,36.7%,38.3%,25.7%,45.7%,48.6%,31.6%,47.1%,38.9%,50.0%,27.3%,27.3%,18.8%,28.6%,60.0%,66.7%,41
2024 Australian Open SF,L vs Zheng,28.6%,34.9%,40.0%,37.1%,42.9%,40.9%,60.0%,60.0%,50.0%,21.7%,30.4%,38.9%,83.3%,63.6%,66.7%,87
2024 Australian Open QF,W vs Noskova,40.3%,46.8%,47.1%,47.1%,58.8%,55.6%,47.1%,29.4%,0.0%,36.0%,36.0%,37.5%,41.7%,15.4%,0.0%,25
2024 Australian Open R16,W vs Azarenka,21.4%,36.9%,46.7%,29.8%,51.1%,51.5%,52.2%,25.0%,66.7%,12.9%,22.6%,40.7%,66.7%,47.4%,33.3%,6
2024 Australian Open R32,W vs Navarro,30.4%,40.5%,48.1%,37.8%,54.1%,56.5%,56.5%,64.3%,33.3%,25.6%,30.8%,41.4%,35.7%,24.0%,0.0%,-18
2024 Australian Open Q3,W vs Joint,30.3%,40.8%,38.3%,35.4%,52.1%,41.9%,72.7%,50.0%,0.0%,27.3%,27.3%,31.3%,10.0%,25.0%,0.0%,128
2023 Palermo R32,W vs Ristic,15.7%,29.4%,63.2%,22.6%,41.9%,66.7%,64.7%,78.6%,100.0%,6.7%,13.3%,57.1%,75.0%,54.5%,-,-61
2023 Roland Garros R128,L vs Vekic,9.7%,22.6%,43.4%,10.0%,20.0%,38.9%,35.3%,47.8%,0.0%,10.5%,31.6%,52.9%,40.0%,77.8%,66.7%,-14
2022 BJK Cup Qualifiers RR,L vs Riske Amritraj,22.1%,29.5%,48.5%,27.3%,40.0%,52.5%,52.6%,58.3%,80.0%,17.6%,17.6%,42.9%,35.3%,41.2%,0.0%,23
2022 Lyon F,L vs Zhang,30.3%,43.4%,44.0%,41.3%,54.3%,55.6%,43.5%,47.8%,50.0%,14.8%,29.6%,30.4%,30.0%,17.6%,50.0%,17
2022 Dubai R16,W vs Krejcikova,37.8%,43.2%,54.5%,43.4%,47.2%,56.7%,38.1%,46.9%,50.0%,26.3%,36.8%,50.0%,30.0%,22.2%,-,11
2022 Australian Open R128,L vs Brengle,12.7%,28.6%,42.3%,9.7%,32.3%,42.9%,71.4%,30.0%,0.0%,17.2%,27.6%,41.7%,55.6%,45.0%,25.0%,9
2021 Chicago R32,L vs Mertens,21.3%,29.8%,37.1%,23.3%,33.3%,43.5%,41.2%,30.8%,100.0%,20.0%,26.7%,25.0%,16.7%,55.6%,100.0%,38
Last 52 Weeks (4 matches),,21.0%,33.7%,48.8%,23.2%,37.9%,48.5%,43.2%,58.3%,76.9%,20.6%,32.0%,49.4%,45.0%,52.6%,66.7%,76
Career (58 matches),,24.4%,34.9%,48.3%,29.1%,41.5%,49.9%,49.3%,45.7%,48.0%,21.4%,30.6%,45.8%,41.8%,52.0%,50.0%,86
