Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Ningbo R32,W vs Mboko,62.2%,74.5%,3.7%,1/2,2.44,14.0%,65.3%,71.9%,2.0%,2.52,22.2%,73.1%,78.9%,7.7%,2.28,0.0%
2025 Hamburg SF,L vs Boisson,54.4%,59.5%,4.4%,3/0,2.66,7.8%,60.0%,59.3%,2.2%,2.52,11.8%,45.5%,60.0%,9.1%,2.94,0.0%
2025 Wimbledon R128,W vs Gauff,55.2%,53.1%,6.9%,2/2,2.75,0.0%,50.0%,61.5%,7.7%,2.54,0.0%,82.6%,47.4%,8.7%,3.06,0.0%
2025 Nottingham F,L vs Kessler,63.5%,55.0%,4.8%,1/2,2.42,12.7%,62.9%,68.2%,2.9%,2.25,20.0%,69.2%,38.9%,7.7%,2.73,0.0%
2025 Indian Wells R32,L vs Swiatek,57.1%,45.8%,9.5%,2/2,2.65,0.0%,50.0%,40.0%,20.0%,2.63,0.0%,66.7%,50.0%,0.0%,2.73,0.0%
2025 Linz F,L vs Alexandrova,60.4%,60.3%,2.1%,0/2,2.86,2.0%,53.6%,54.1%,0.0%,2.76,4.0%,87.5%,71.4%,8.3%,2.95,0.0%
2024 Rome R32,L vs Sabalenka,50.0%,36.0%,0.0%,0/0,2.35,4.4%,54.5%,44.4%,0.0%,2.36,6.9%,50.0%,14.3%,0.0%,2.34,0.0%
2024 San Diego R16,L vs Blinkova,59.7%,58.1%,5.6%,2/2,2.26,5.7%,66.7%,56.7%,2.2%,2.24,10.5%,59.1%,61.5%,13.6%,2.28,0.0%
2024 Australian Open SF,L vs Zheng,50.7%,61.8%,11.9%,6/2,2.69,2.5%,45.9%,52.9%,5.4%,2.56,4.5%,63.0%,70.6%,22.2%,2.85,0.0%
2024 Australian Open QF,W vs Noskova,61.1%,63.6%,11.1%,2/4,2.60,2.9%,60.5%,60.9%,5.3%,2.49,5.6%,71.4%,70.0%,28.6%,2.73,0.0%
2024 Australian Open R16,W vs Azarenka,73.7%,60.7%,15.8%,9/3,2.65,6.7%,69.0%,69.0%,14.3%,2.67,12.1%,87.1%,51.9%,19.4%,2.62,0.0%
2024 Australian Open R32,W vs Navarro,65.8%,64.6%,5.5%,1/3,2.45,19.2%,62.7%,62.5%,2.0%,2.16,26.1%,84.2%,68.8%,15.8%,2.68,13.8%
2024 Australian Open Q3,W vs Joint,72.4%,55.6%,10.3%,8/1,2.48,4.3%,69.8%,56.8%,9.5%,2.39,3.2%,95.0%,52.6%,15.0%,2.66,6.3%
2023 Palermo R32,W vs Ristic,68.2%,73.3%,3.0%,2/0,2.09,2.6%,69.4%,64.7%,2.0%,2.03,0.0%,68.8%,100.0%,6.3%,2.20,7.1%
2023 Roland Garros R128,L vs Vekic,55.4%,54.8%,5.4%,1/2,2.51,3.8%,63.3%,47.4%,3.3%,2.49,2.9%,57.1%,66.7%,9.5%,2.54,5.9%
2022 BJK Cup Qualifiers RR,L vs Riske Amritraj,63.3%,54.4%,4.4%,3/1,2.80,9.0%,61.0%,55.6%,5.1%,2.67,15.4%,77.8%,52.4%,3.7%,2.99,0.0%
2022 Lyon F,L vs Zhang,67.9%,56.1%,8.3%,2/5,2.63,12.5%,76.0%,50.0%,6.0%,2.63,23.1%,59.4%,68.4%,12.5%,2.64,0.0%
2022 Dubai R16,W vs Krejcikova,45.0%,55.6%,5.0%,2/1,2.59,2.3%,47.4%,55.6%,2.6%,2.54,3.3%,52.9%,55.6%,11.8%,2.71,0.0%
2022 Australian Open R128,L vs Brengle,78.7%,54.2%,0.0%,0/0,2.15,17.6%,82.1%,53.1%,0.0%,2.21,25.0%,80.0%,56.3%,0.0%,2.08,8.7%
2021 Chicago R32,L vs Mertens,40.4%,36.8%,8.5%,3/1,2.56,5.7%,36.0%,33.3%,8.0%,2.60,8.7%,66.7%,40.0%,13.3%,2.48,0.0%
Last 52 Weeks (4 matches),,59.0%,61.9%,4.8%,53.8%,2.55,9.5%,60.6%,66.0%,3.2%,2.44,14.9%,68.0%,56.1%,8.2%,2.72,0.0%
Career (58 matches),,63.0%,58.8%,5.6%,62.6%,2.53,12.6%,62.6%,57.0%,4.7%,2.51,17.1%,74.7%,61.7%,8.2%,2.57,5.6%
