Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,7,2,5,28.6%,0,0,0,-,2009,2015,R64,7,0.99,7.9%,4.8%,58.4%,74.7%,43.2%,61.6%,38.2%,45.8%,42.2%
Roland Garros,5,Clay,7,2,5,28.6%,4,3,1,75.0%,2009,2013,R64,7,0.87,6.1%,3.6%,56.1%,69.1%,50.1%,60.8%,34.0%,58.5%,38.5%
Wimbledon,6,Grass,12,6,6,50.0%,10,6,4,60.0%,2008,2013,R32,12,1.02,11.6%,3.2%,58.1%,76.5%,52.4%,66.4%,34.5%,62.2%,35.1%
US Open,7,Hard,16,9,7,56.3%,8,3,5,37.5%,2007,2014,R64,16,1.03,9.8%,4.4%,53.4%,76.6%,50.9%,64.6%,36.4%,60.2%,39.0%
Olympics,1,,2,1,1,50.0%,1,1,0,100.0%,2012,2012,R32,2,0.93,10.5%,3.7%,56.8%,68.5%,65.7%,67.3%,30.3%,86.7%,50.0%
Davis Cup,3,,4,2,2,50.0%,2,2,0,100.0%,2007,2012,,0,,,,,,,,,,
Stuttgart,7,Grass,7,0,7,0.0%,1,0,1,0.0%,2003,2018,R32,6,0.70,5.8%,5.2%,53.0%,69.4%,40.9%,56.0%,30.8%,50.0%,31.6%
s Hertogenbosch,6,Grass,15,9,6,60.0%,2,2,0,100.0%,2003,2014,F,14,1.05,8.2%,3.4%,61.0%,69.5%,53.0%,63.1%,38.6%,56.2%,47.3%
Munich,6,Clay,13,7,6,53.8%,7,4,3,57.1%,2008,2015,SF,13,1.03,5.8%,3.1%,59.8%,72.0%,51.3%,63.7%,37.4%,53.9%,36.7%
Zagreb,5,Hard,14,9,5,64.3%,5,2,3,40.0%,2009,2013,SF,14,1.08,11.1%,3.3%,59.5%,75.6%,51.7%,65.9%,36.9%,50.0%,39.5%
Halle,5,Grass,13,8,5,61.5%,8,4,4,50.0%,2008,2012,F,13,0.98,9.7%,4.2%,56.0%,76.0%,51.0%,65.0%,34.3%,62.9%,46.4%
Indian Wells Masters,4,Hard,10,6,4,60.0%,0,0,0,-,2010,2015,R64,9,0.91,8.0%,4.8%,50.3%,71.6%,50.8%,61.2%,35.4%,61.5%,40.0%
