Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Indian Wells R32,L vs Sinner,25.0%,39.3%,34.3%,33.2%,32.4%,55.9%,43.5%,45.9%,43.8%,61.1%,50.0%,20.0%,20.0%,16.7%,32
2026 Indian Wells R128,W vs Tsitsipas,23.9%,40.3%,63.3%,35.1%,28.9%,48.9%,68.8%,45.6%,10.0%,64.0%,0.0%,15.0%,25.0%,52.9%,32
2026 Dallas R32,W vs Jodar,31.8%,50.0%,63.0%,39.3%,45.5%,59.1%,50.0%,60.5%,45.5%,63.6%,33.3%,21.1%,47.4%,73.3%,82
2025 Stockholm SF,L vs Ruud,25.9%,44.4%,50.0%,36.5%,30.3%,57.6%,56.5%,47.6%,26.7%,38.9%,0.0%,23.5%,29.4%,38.5%,91
2025 Los Cabos F,W vs Kovacevic,35.3%,49.0%,64.5%,39.2%,43.8%,56.3%,66.7%,50.0%,41.7%,55.0%,-,23.5%,41.2%,61.5%,80
2025 Rome R64,L vs Gaubas,21.2%,28.8%,51.2%,27.3%,34.3%,40.0%,43.5%,45.7%,23.5%,72.2%,50.0%,9.1%,22.7%,60.0%,-47
2025 Miami R32,L vs Fritz,32.7%,38.5%,48.3%,37.9%,39.5%,47.4%,39.1%,46.6%,31.3%,36.4%,33.3%,25.0%,25.0%,83.3%,39
2025 Indian Wells R32,L vs Alcaraz,32.2%,40.7%,43.8%,36.6%,46.7%,60.0%,50.0%,55.3%,14.3%,62.5%,100.0%,23.8%,28.6%,37.5%,72
2025 Dallas F,W vs Ruud,34.2%,49.3%,56.5%,43.2%,44.0%,58.0%,50.0%,57.0%,25.0%,43.3%,-,14.3%,33.3%,66.7%,25
2025 Dallas SF,W vs Paul,29.5%,44.9%,56.9%,39.6%,40.0%,62.0%,63.3%,55.8%,37.5%,61.5%,33.3%,12.5%,16.7%,47.6%,0
2025 Dallas QF,W vs Machac,37.0%,53.7%,62.1%,43.9%,43.3%,60.0%,52.9%,55.7%,18.8%,50.0%,-,36.8%,57.9%,75.0%,203
2025 Adelaide R32,W vs Zhang,46.3%,63.0%,72.0%,55.9%,59.4%,84.4%,92.3%,75.6%,58.3%,35.0%,-,33.3%,38.9%,50.0%,182
2024 Belgrade F,W vs Medjedovic,50.0%,64.8%,58.3%,54.6%,64.7%,79.4%,50.0%,72.1%,35.7%,45.0%,100.0%,29.4%,47.1%,66.7%,148
2024 Belgrade SF,W vs Lehecka,36.8%,71.1%,90.0%,54.5%,46.2%,88.5%,92.9%,71.9%,41.7%,71.4%,-,25.0%,50.0%,83.3%,65
2024 Basel QF,L vs Mpetshi Perricard,39.4%,52.5%,63.0%,48.2%,40.0%,56.4%,66.7%,55.8%,35.0%,22.9%,50.0%,44.7%,55.3%,57.1%,127
2024 Stuttgart R16,L vs Berrettini,37.7%,58.5%,62.1%,47.2%,46.4%,82.1%,73.3%,64.3%,28.6%,50.0%,100.0%,33.3%,38.1%,50.0%,163
2024 Roland Garros R32,L vs Hurkacz,17.6%,29.6%,53.6%,25.7%,22.5%,40.8%,58.2%,36.8%,14.8%,75.0%,100.0%,12.5%,16.7%,47.6%,4
2024 Montpellier R16,L vs Bublik,28.0%,41.1%,54.9%,35.6%,36.7%,51.7%,60.5%,50.2%,15.4%,32.4%,50.0%,19.5%,31.7%,48.5%,69
2023 Wimbledon R16,L vs Safiullin,22.9%,40.6%,57.1%,34.1%,29.5%,50.8%,62.8%,47.0%,32.1%,63.6%,100.0%,16.7%,33.3%,45.0%,8
2023 Roland Garros R32,L vs Alcaraz,0.0%,12.9%,50.7%,8.9%,0.0%,16.7%,50.0%,15.8%,24.0%,60.9%,66.7%,0.0%,11.1%,51.9%,-118
Career (109 matches),,30.4%,45.7%,54.4%,38.3%,39.6%,57.9%,58.3%,52.8%,34.6%,56.4%,55.4%,19.6%,32.7%,49.3%,64
