Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Indian Wells R32,L vs Sinner,46.5%,45.0%,0.0%,0/0,2.00,11.4%,44.1%,33.3%,0.0%,2.00,17.4%,71.4%,80.0%,0.0%,2.00,0.0%
2026 Indian Wells R128,W vs Tsitsipas,75.0%,50.8%,1.2%,0/1,2.10,6.1%,69.4%,47.1%,2.0%,1.98,9.4%,90.6%,55.2%,0.0%,2.32,0.0%
2026 Dallas R32,W vs Jodar,74.6%,77.3%,1.7%,1/0,2.29,11.1%,75.0%,70.4%,2.8%,2.68,16.7%,77.3%,88.2%,0.0%,2.00,6.7%
2025 Stockholm SF,L vs Ruud,74.6%,40.4%,4.8%,0/3,2.11,47.2%,73.2%,23.3%,7.3%,1.98,73.9%,81.0%,70.6%,0.0%,2.33,0.0%
2025 Los Cabos F,W vs Kovacevic,64.0%,56.3%,2.0%,0/1,2.42,6.5%,63.6%,52.4%,3.0%,2.58,11.1%,73.3%,63.6%,0.0%,2.19,0.0%
2025 Rome R64,L vs Gaubas,75.3%,43.6%,1.4%,1/0,1.92,20.9%,77.2%,45.5%,0.0%,1.93,39.1%,78.6%,36.4%,7.1%,1.90,0.0%
2025 Miami R32,L vs Fritz,67.8%,35.0%,0.0%,0/0,2.25,10.3%,60.5%,26.1%,0.0%,2.34,8.7%,85.0%,47.1%,0.0%,1.92,16.7%
2025 Indian Wells R32,L vs Alcaraz,65.1%,41.5%,1.6%,0/1,2.17,12.5%,69.6%,43.8%,0.0%,2.32,25.0%,75.0%,33.3%,8.3%,2.03,0.0%
2025 Dallas F,W vs Ruud,74.0%,46.3%,0.0%,0/0,2.16,39.1%,76.4%,47.6%,0.0%,2.07,57.1%,70.6%,41.7%,0.0%,2.31,11.1%
2025 Dallas SF,W vs Paul,82.5%,44.7%,3.5%,0/2,2.14,41.2%,79.4%,37.0%,5.9%,2.06,66.7%,87.0%,55.0%,0.0%,2.24,4.8%
2025 Dallas QF,W vs Machac,80.4%,57.8%,1.8%,1/0,2.17,24.1%,78.0%,59.4%,2.4%,2.24,35.3%,86.7%,53.8%,0.0%,2.08,8.3%
2025 Adelaide R32,W vs Zhang,60.4%,50.0%,1.9%,0/1,2.13,44.0%,56.7%,52.9%,0.0%,2.33,76.9%,71.4%,46.7%,4.8%,1.95,8.3%
2024 Belgrade F,W vs Medjedovic,72.1%,47.7%,3.3%,1/1,2.42,16.7%,69.6%,50.0%,4.3%,2.00,25.0%,92.3%,41.7%,0.0%,2.83,8.3%
2024 Belgrade SF,W vs Lehecka,76.5%,66.7%,0.0%,0/0,2.00,55.0%,69.7%,56.5%,0.0%,2.04,64.3%,100.0%,81.3%,0.0%,1.92,33.3%
2024 Basel QF,L vs Mpetshi Perricard,41.3%,48.9%,1.8%,1/1,2.29,74.1%,38.9%,53.6%,1.4%,2.22,90.9%,54.8%,41.2%,3.2%,2.40,47.6%
2024 Stuttgart R16,L vs Berrettini,56.1%,40.6%,1.8%,0/1,1.91,3.6%,53.8%,28.6%,0.0%,1.64,7.1%,64.7%,63.6%,5.9%,2.19,0.0%
2024 Roland Garros R32,L vs Hurkacz,63.1%,38.6%,1.8%,1/1,2.32,7.4%,57.5%,37.0%,0.0%,2.40,11.1%,82.8%,41.7%,6.9%,2.22,2.4%
2024 Montpellier R16,L vs Bublik,53.0%,41.5%,3.0%,1/2,2.34,23.5%,48.1%,44.0%,0.0%,2.08,37.1%,71.8%,39.3%,7.7%,2.55,9.1%
2023 Wimbledon R16,L vs Safiullin,66.7%,36.4%,0.0%,0/0,2.46,42.9%,64.2%,39.5%,0.0%,2.43,46.5%,79.3%,30.4%,0.0%,2.53,35.0%
2023 Roland Garros R32,L vs Alcaraz,97.5%,33.3%,7.5%,2/4,-,4.6%,98.3%,35.1%,6.9%,-,7.7%,100.0%,28.6%,9.5%,-,0.0%
Career (109 matches),,65.5%,47.7%,2.7%,35.8%,2.20,17.6%,63.2%,44.1%,2.3%,2.14,27.4%,77.2%,53.3%,3.8%,2.28,4.7%
