Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1956,,,2,2087,,,3,1931,2,1989,,,,
1955,,,5,1996,,,3,1944,3,1903,,,,
1954,,,4,2062,,,,,4,1967,,,,
1953,,,3,2123,3,1897,3,2006,3,2024,,,,
1952,,,3,2116,4,1832,2,1995,3,2007,,,,
1951,,,3,2120,,,2,2016,5,1988,,,,
1950,,,7,1958,,,7,1840,6,1869,,,,
1949,,,11,1872,13,1626,10,1763,12,1794,,,,
1948,,,8,1905,,,6,1799,7,1816,,,,
1947,,,8,1925,,,10,1767,6,1845,,,,
1946,,,5,1950,,,6,1830,4,1859,,,,
1945,,,9,1810,,,7,1685,10,1716,,,,
1944,,,8,1774,,,8,1641,8,1686,,,,
1942,,,18,1640,12,1424,,,14,1527,,,,
1941,,,23,1598,,,20,1476,26,1365,,,,
1940,,,35,1543,,,,,45,1341,,,,
