Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
05-Aug-1968,Providence,,F,,,Fry d. Mary Fuller [USA],6-0 6-1,,,,,,,,
25-Jul-1968,Chestnut Hill New England,Grass,F,,,Fry d. Andrea Voikos [USA],6-2 6-2,,,,,,,,
17-Jun-1968,Farmington,Clay,F,,,Fry d. Ann Murphy [USA],6-2 6-1,,,,,,,,
27-May-1968,New Haven,Grass,F,,,Fry d. Pat Stewart [USA],4-6 6-1 7-5,,,,,,,,
18-Jan-1957,Australian Championships,Grass,F,,,(1) Fry d. (2) Althea Gibson [USA],6-3 6-4,,,,,,,,
26-Dec-1956,Sydney Manly,Grass,F,,,Althea Gibson [USA] d. Fry,0-6 7-5 6-2,,,,,,,,
06-Dec-1956,Melbourne,Grass,F,,,(1F) Fry d. (2F) Althea Gibson [USA],4-6 9-7 8-6,,,,,,,,
22-Nov-1956,Adelaide 2,Grass,F,,,Althea Gibson [USA] d. Fry,8-6 7-5,,,,,,,,
07-Nov-1956,Sydney,Grass,F,,,Althea Gibson [USA] d. Fry,10-8 6-2,,,,,,,,
01-Sep-1956,US National Championships,Grass,F,,,(1) Fry d. (2) Althea Gibson [USA],6-3 6-4,,,,,,,,
14-Aug-1956,Manchester-on-Sea,Grass,F,,,Fry d. Louise Brough [USA],6-4 4-6 6-2,,,,,,,,
16-Jul-1956,River Forest,Clay,F,,,Fry d. Althea Gibson [USA],7-5 6-1,,,,,,,,
08-Jul-1956,Dusseldorf,Clay,F,,,Fry d. Heather Nicholls [RSA],6-1 13-11,,,,,,,,
25-Jun-1956,Wimbledon,Grass,F,,,(5) Fry d. (6) Angela Buxton [GBR],6-3 6-1,,,,,,,,
02-Apr-1956,Kingston,,F,,,Fry d. Darlene Hard [USA],5-7 6-0 7-5,,,,,,,,
20-May-1952,Roland Garros,Clay,F,,,Doris Hart [USA] d. Fry,6-4 6-4,,,,,,,,
25-Aug-1951,US National Championships,Grass,F,,,(4) Maureen Connolly [USA] d. (2) Fry,6-3 1-6 6-4,,,,,,,,
25-Jun-1951,Wimbledon,Grass,F,,,(3) Doris Hart [USA] d. (4) Fry,6-1 6-0,,,,,,,,
23-May-1951,Roland Garros,Clay,F,,,(3) Fry d. (1) Doris Hart [USA],6-3 3-6 6-3,,,,,,,,
19-May-1948,Roland Garros,Clay,F,,,(3) Nelly Landry [BEL] d. (4) Fry,6-2 0-6 6-0,,,,,,,,
