Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2022 Wimbledon R128,L vs Harrison,103.4,113.9,9.9,118.9,108.0,133,89,87.5,7.2,94.3,90.0,105,75
2019 Wimbledon R64,L vs Federer,102.5,111.3,7.0,115.1,107.4,122,93,87.5,5.1,92.0,89.3,103,78
2018 Wimbledon R128,L vs Gulbis,103.3,112.3,8.5,115.9,109.8,131,79,89.6,7.2,97.8,84.7,105,72
Career (3 matches),,103.1,112.5,8.5,117.0,108.9,133,79,88.4,6.7,96.0,87.9,105,72
