Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Soma Bay CH F,L vs Samuel,5.1,5.8,4.3,47.2%,51.0%,59.1%,37.5%,58.5%,24.2%,16.0,6.8,11.0,8.7
2019 Wimbledon R64,L vs Federer,3.4,3.9,2.9,36.4%,45.2%,38.5%,37.5%,49.7%,36.1%,6.5,8.6,-8.0,-14.3
2018 Binghamton CH F,W vs Thompson,4.9,4.7,5.2,54.0%,46.4%,56.0%,50.0%,53.0%,15.2%,23.0,9.5,2.5,1.3
Career (3 matches),,4.6,4.8,4.3,46.3%,47.8%,53.3%,42.9%,54.5%,22.4%,15.2,8.2,1.8,1.5
