Date,Tournament,Surface,Rd,,Score
05-Nov-1970,Richmond,Clay,F,(1) Rosie Casals / Billie Jean King [USA] d. (2) Ziegenfuss / Mary Ann Eisel [USA],6-4 6-4
18-Aug-1970,Haverford,Grass,F,(3) Gail Sherriff / Francoise Durr [FRA] d. (4) Ziegenfuss / Mary Ann Eisel [USA],6-3 6-2
17-Aug-1970,Moscow Intl,,F,Olga Morozova [URS] / Tiiu Kivi [EST] d. Ziegenfuss / Peggy Michel [USA],3-6 6-2 6-4
04-May-1970,Sacramento,Hard,F,Ziegenfuss / Nancy Richey [USA] d. Denise Carter / Kristy Pigeon [USA],6-2 6-2
27-Apr-1970,Kansas City,,F,Mary Ann Eisel / Stephanie Defina [USA] d. Ziegenfuss / Peaches Bartkowicz [USA],4-6 6-3 6-3
06-Apr-1970,St. Petersburg,Clay,F,Ziegenfuss / Mary Ann Eisel [USA] d. Kerry Harris [AUS] / Stephanie Defina [USA],6-4 6-4
25-Feb-1970,Boston,Carpet,F,Peaches Bartkowicz / Nancy Richey [USA] d. Ziegenfuss / Mary Ann Eisel [USA],8-6 6-4
20-Feb-1970,Agawam,Hard,F,Ziegenfuss / Mary Ann Eisel [USA] d. Patti Hogan / Peggy Michel [USA],6-3 6-4
11-Jan-1970,Cape Town,Hard,F,Ann Jones [GBR] / Patricia Walkden [RSA] d. Ziegenfuss / Peaches Bartkowicz [USA],7-5 6-3
05-Jan-1970,Bloemfontein 1,Hard,F,Ann Jones [GBR] / Patricia Walkden [RSA] d. Ziegenfuss / Peaches Bartkowicz [USA],6-4 6-4
21-Dec-1969,East London,Hard,F,Ann Jones [GBR] / Patricia Walkden [RSA] d. Ziegenfuss / Peaches Bartkowicz [USA],6-1 6-4
27-Oct-1969,Richmond,Clay,F,Peaches Bartkowicz / Stephanie Defina [USA] d. Ziegenfuss / Darlene Hard [USA],6-3 2-6 6-3
10-Sep-1969,La Costa,Hard,F,Peaches Bartkowicz / Julie Heldman [USA] d. Ziegenfuss / Winnie Shaw [GBR],6-1 6-4
16-Aug-1969,Chestnut Hill,Grass,F,(1F) Margaret Court [AUS] / Virginia Wade [GBR] d. (1) Ziegenfuss / Mary Ann Eisel [USA],6-1 6-3
09-Aug-1969,Wightman Cup,Hard,RR,Christine Truman / Nell Truman [GBR] d. Ziegenfuss / Mary Ann Eisel [USA],6-1 3-6 6-4
14-Jul-1969,Cincinnati,Clay,F,Ziegenfuss / Kerry Harris [AUS] d. Emilie Burrer / Pam Richmond [USA],6-3 9-7
02-Apr-1969,San Juan,Hard,F,Karen Krantzcke / Kerry Reid [AUS] d. Ziegenfuss / Mary Ann Eisel [USA],7-5 7-5
18-Mar-1969,St. Petersburg,Clay,F,Lesley Turner / Kerry Reid [AUS] d. Ziegenfuss / Mary Ann Eisel [USA],6-4 7-5
19-Feb-1969,Boston,Carpet,F,Ziegenfuss / Mary Ann Eisel [USA] d. Patti Hogan / Peggy Michel [USA],6-1 6-3
14-Feb-1969,Agawam,Carpet,F,Ziegenfuss / Mary Ann Eisel [USA] d. Stephanie Defina / Kristy Pigeon [USA],6-2 6-2
