Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,12,4,8,33.3%,9-18,33.3%,130-152,46.1%,2-4,33.3%,12,79.9%,12.4%,7.6%,2.6%,62.4%,71.4%,50.7%,63.6%,33.7%,48.5%,0.92,QF (Cherbourg)
2021,18,9,9,50.0%,22-23,48.9%,230-231,49.9%,3-6,33.3%,18,84.6%,15.7%,9.1%,3.1%,65.0%,72.2%,57.1%,66.9%,33.7%,50.2%,1.02,W (Cherbourg)
2020,13,6,7,46.2%,13-15,46.4%,137-130,51.3%,0-3,0.0%,13,77.4%,26.0%,7.3%,3.0%,65.5%,68.7%,49.7%,62.2%,38.6%,50.3%,1.02,SF (Koblenz )
2019,38,18,20,47.4%,45-45,50.0%,442-434,50.5%,7-7,50.0%,38,76.5%,24.3%,8.3%,4.3%,64.9%,69.9%,49.5%,62.8%,38.9%,50.6%,1.05,SF (Nur-Sultan)
2018,20,12,8,60.0%,26-18,59.1%,213-198,51.8%,1-2,33.3%,20,78.9%,25.0%,7.2%,4.0%,63.7%,70.5%,52.0%,63.8%,38.6%,51.0%,1.07,F (Eckental)
2017,40,24,16,60.0%,55-39,58.5%,479-417,53.5%,7-6,53.8%,40,81.1%,26.0%,7.9%,4.4%,64.7%,71.5%,52.7%,64.9%,40.1%,52.0%,1.14,W (Koblenz)
2016,31,18,13,58.1%,41-33,55.4%,406-362,52.9%,7-11,38.9%,31,84.8%,21.8%,6.4%,3.8%,63.3%,74.5%,53.1%,66.7%,37.1%,51.6%,1.11,F (2x)
2015,36,23,13,63.9%,54-31,63.5%,446-368,54.8%,7-6,53.8%,36,83.4%,26.7%,8.6%,4.3%,60.3%,75.6%,53.8%,66.9%,39.2%,52.5%,1.18,W (Le Gosier)
2014,35,20,15,57.1%,47-38,55.3%,453-412,52.4%,9-12,42.9%,35,83.2%,21.9%,7.0%,3.9%,62.3%,72.3%,54.0%,65.4%,37.4%,51.2%,1.08,W (Eckental)
2013,37,21,16,56.8%,48-37,56.5%,458-407,52.9%,10-10,50.0%,37,84.6%,21.7%,9.2%,4.8%,60.5%,74.7%,53.0%,66.1%,37.3%,51.6%,1.10,F (2x)
2012,43,27,16,62.8%,61-38,61.6%,528-459,53.5%,16-6,72.7%,43,83.2%,23.1%,9.0%,3.5%,62.7%,74.2%,52.5%,66.1%,37.9%,51.6%,1.12,F (3x)
2011,40,23,17,57.5%,53-45,54.1%,510-473,51.9%,11-13,45.8%,40,85.0%,18.8%,10.2%,3.2%,63.5%,75.9%,53.1%,67.6%,35.1%,51.0%,1.08,W (Wolfsburg)
2010,27,11,16,40.7%,30-35,46.2%,334-359,48.2%,12-8,60.0%,27,82.6%,13.6%,10.7%,3.1%,61.3%,73.6%,50.9%,64.8%,33.3%,49.3%,0.95,F (Eckental)
2009,29,14,15,48.3%,36-32,52.9%,334-336,49.9%,6-4,60.0%,0,,,,,,,,,,,,W (Wolfsburg)
2008,18,11,7,61.1%,26-19,57.8%,238-223,51.6%,8-4,66.7%,0,,,,,,,,,,,,F (Aachen)
2007,2,1,1,50.0%,2-2,50.0%,17-18,48.6%,0-0,-,0,,,,,,,,,,,,R16 (Aachen)
Career,439,242,197,55.1%,568-468,54.8%,5355-4979,51.8%,106-102,51.0%,390,82.4%,21.8%,8.5%,3.8%,62.9%,73.1%,52.6%,65.5%,37.2%,51.1%,1.08,
