Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),412,113,133,1660,103,1654,134,1594,,,,,,
2025,156,397,71,1759,65,1720,99,1644,,,,,,
2024,106,578,75,1747,70,1712,102,1637,79,1606,,,,
2023,352,143,160,1595,126,1586,,,,,,,,
2021,47,1210,20,1901,20,1856,15,1853,16,1765,,,,
2020,41,1345,,,,,,,,,467,90,,
2019,13,2180,8,1969,11,1911,7,1950,5,1868,449,90,,
2018,9,3590,6,2020,6,1956,5,1991,7,1881,,,,
2017,22,1885,5,2090,5,2040,5,2049,4,1953,814,45,,
2016,5,4905,3,2166,4,2096,4,2116,4,1993,849,45,,
2015,8,4235,5,2155,5,2086,6,2091,4,1966,420,150,,
2014,5,5025,4,2146,5,2087,6,2038,5,1928,553,95,,
2013,17,1915,19,1941,16,1892,22,1862,21,1793,281,225,,
2012,19,1830,17,1949,16,1888,17,1868,16,1809,292,225,,
2011,25,1430,16,1947,16,1901,32,1820,23,1786,183,360,109,1578
2010,98,554,54,1804,48,1747,40,1792,35,1718,510,90,,
2009,418,85,,,,,,,,,,,,
2008,63,640,41,1833,45,1751,66,1719,36,1723,592,73,,
2007,286,133,208,1524,172,1505,323,1337,,,993,18,,
2006,603,37,,,,,,,,,,,,
