Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2007,,,,,,,,,,,1386,4,,
1998,,,,,,,,,,,1180,7,,
1996,645,,,,,,,,,,298,177,,
1995,52,,76,1785,,,65,1771,,,79,895,,
1994,86,,78,1785,116,1658,50,1787,,,110,628,,
1993,61,,51,1850,81,1720,34,1855,,,223,243,,
1992,37,,33,1900,50,1784,25,1901,,,205,256,,
1991,23,,29,1896,49,1782,17,1894,57,1680,201,250,,
1990,39,,40,1858,84,1679,26,1861,,,207,201,,
1989,44,,68,1782,110,1630,38,1805,,,184,,,
1988,33,,58,1817,,,41,1804,,,256,,,
1987,128,,108,1697,,,85,1681,,,186,,,
1986,97,,66,1778,,,50,1756,,,109,,,
1985,154,,,,,,,,,,318,,,
1984,214,,,,,,,,,,415,,,
