Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,1,Hard,2,1,1,50.0%,0,0,0,-,1990,1990,R64,0,,,,,,,,,,
Roland Garros,11,Clay,21,10,11,47.6%,5,4,1,80.0%,1985,1996,R32,8,0.90,1.6%,2.3%,72.6%,60.4%,47.5%,56.9%,38.8%,51.8%,52.4%
Wimbledon,1,Grass,1,0,1,0.0%,0,0,0,-,1991,1991,R128,1,0.33,0.0%,5.7%,58.0%,62.7%,45.9%,55.7%,14.8%,61.5%,0
US Open,2,Hard,2,0,2,0.0%,0,0,0,-,1990,1992,R128,1,0.61,0.7%,3.6%,56.2%,62.3%,50.0%,56.9%,26.4%,54.5%,40.0%
Olympics,1,,6,5,1,83.3%,3,2,1,66.7%,1992,1992,F,0,,,,,,,,,,
Davis Cup,2,,3,2,1,66.7%,0,0,0,-,1989,1992,,0,,,,,,,,,,
Barcelona,13,Clay,33,20,13,60.6%,8,5,3,62.5%,1984,1996,QF,17,1.00,0.8%,2.1%,72.9%,60.9%,52.3%,58.6%,41.4%,57.7%,35.7%
Palermo,8,Clay,18,10,8,55.6%,3,2,1,66.7%,1984,1995,SF,10,1.02,0.7%,1.9%,75.5%,61.4%,49.7%,58.5%,42.3%,50.0%,48.8%
Nice,8,Clay,17,9,8,52.9%,6,2,4,33.3%,1986,1994,SF,6,0.98,0.5%,2.1%,78.0%,57.1%,54.2%,56.4%,42.8%,62.1%,53.3%
Athens,7,Clay,26,21,5,80.8%,10,5,5,50.0%,1986,1994,W,18,1.21,1.6%,2.0%,70.0%,67.6%,51.4%,62.8%,45.0%,59.4%,48.1%
Madrid,7,Clay,19,13,6,68.4%,7,3,4,42.9%,1987,1994,W,11,1.19,0.9%,2.0%,74.2%,65.6%,52.9%,62.3%,45.0%,56.3%,47.3%
Stuttgart Outdoor,7,Clay,9,2,7,22.2%,1,1,0,100.0%,1988,1994,QF,4,0.76,1.4%,3.4%,72.3%,57.3%,40.7%,52.7%,36.1%,52.5%,38.5%
