Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1996,3,1,2,33.3%,2-3,40.0%,20-24,45.5%,0-0,-,0,,,,,,,,,,,,R16 (Braunschweig)
1995,30,22,8,73.3%,47-20,70.1%,341-268,56.0%,2-3,40.0%,0,,,,,,,,,,,,W (2x)
1994,9,5,4,55.6%,9-8,52.9%,81-70,53.6%,3-0,100.0%,0,,,,,,,,,,,,QF (2x)
1993,14,9,5,64.3%,19-14,57.6%,169-131,56.3%,1-1,50.0%,0,,,,,,,,,,,,F (Porto1)
1992,16,14,2,87.5%,24-8,75.0%,171-118,59.2%,4-0,100.0%,0,,,,,,,,,,,,W (2x)
1991,3,1,2,33.3%,2-4,33.3%,30-32,48.4%,0-0,-,0,,,,,,,,,,,,R16 (Bucharest)
1990,8,4,4,50.0%,9-8,52.9%,86-77,52.8%,0-0,-,0,,,,,,,,,,,,SF (Cairo)
1989,16,12,4,75.0%,24-12,66.7%,181-138,56.7%,1-0,100.0%,0,,,,,,,,,,,,F (Cairo)
1988,19,17,2,89.5%,27-9,75.0%,194-127,60.4%,6-0,100.0%,0,,,,,,,,,,,,W (2x)
1987,11,6,5,54.5%,13-10,56.5%,109-102,51.7%,1-0,100.0%,0,,,,,,,,,,,,SF (2x)
1986,4,2,2,50.0%,5-3,62.5%,38-29,56.7%,0-1,0.0%,0,,,,,,,,,,,,R16 (Clermont Ferrand)
1985,15,9,6,60.0%,17-14,54.8%,144-133,52.0%,1-1,50.0%,0,,,,,,,,,,,,SF (Cairo)
1984,8,6,2,75.0%,11-4,73.3%,76-62,55.1%,1-3,25.0%,0,,,,,,,,,,,,F (Brescia)
1983,2,1,1,50.0%,1-3,25.0%,15-22,40.5%,1-0,100.0%,0,,,,,,,,,,,,R16 (Bari)
Career,158,109,49,69.0%,210-120,63.6%,1655-1333,55.4%,21-9,70.0%,0,,,,,,,,,,,,
