Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,276,214,62,77.5%,446-165,73.0%,3282-2143,60.5%,31-19,62.0%,266,76.2%,44.9%,4.2%,3.8%,63.0%,68.0%,51.2%,61.8%,47.8%,54.7%,1.25
Clay,115,100,15,87.0%,201-46,81.4%,1373-759,64.4%,8-7,53.3%,115,79.1%,49.6%,2.6%,3.3%,61.2%,68.0%,55.1%,63.0%,49.4%,56.1%,1.33
Grass,34,25,9,73.5%,54-21,72.0%,396-279,58.7%,3-3,50.0%,33,78.8%,37.5%,5.4%,3.4%,63.3%,71.7%,49.8%,63.7%,44.8%,54.0%,1.23
Grand Slams,130,108,22,83.1%,224-63,78.0%,1565-958,62.0%,14-7,66.7%,130,77.0%,46.6%,3.9%,3.4%,61.4%,68.7%,51.9%,62.2%,48.5%,55.2%,1.28
Premiers,117,91,26,77.8%,185-69,72.8%,1370-896,60.5%,12-8,60.0%,115,75.6%,45.6%,3.9%,4.0%,62.6%,67.2%,51.8%,61.4%,48.1%,54.7%,1.25
Internationals,41,31,10,75.6%,67-25,72.8%,486-310,61.1%,3-1,75.0%,35,79.4%,44.0%,3.1%,3.1%,63.9%,68.4%,53.5%,63.0%,47.9%,55.3%,1.30
Finals,33,26,7,78.8%,56-18,75.7%,404-244,62.3%,4-1,80.0%,32,78.7%,47.4%,3.6%,3.7%,63.8%,67.8%,54.4%,62.9%,48.4%,55.6%,1.31
Semi-finals,51,32,19,62.7%,69-42,62.2%,555-450,55.2%,7-5,58.3%,48,72.2%,39.4%,3.0%,4.0%,65.5%,65.4%,49.0%,59.8%,46.0%,52.7%,1.14
Quarter-finals,61,47,14,77.0%,98-39,71.5%,735-513,58.9%,10-3,76.9%,59,76.2%,41.0%,3.3%,3.7%,63.8%,68.0%,50.8%,61.8%,45.7%,53.6%,1.19
vs Righties,386,303,83,78.5%,628-221,74.0%,4560-2963,60.6%,38-27,58.5%,376,76.7%,44.6%,3.9%,3.6%,62.5%,68.2%,52.0%,62.1%,47.6%,54.7%,1.26
vs Lefties,33,30,3,90.9%,61-10,85.9%,414-200,67.4%,4-2,66.7%,32,81.1%,52.2%,3.4%,3.7%,64.4%,69.4%,53.4%,63.7%,50.7%,57.3%,1.40
vs Top 10,83,53,30,63.9%,115-66,63.5%,904-718,55.7%,10-5,66.7%,82,73.1%,39.0%,2.9%,4.0%,63.8%,66.2%,49.5%,60.2%,45.4%,52.7%,1.14
