Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R64,L vs Linette,63.6%,48.2%,6.8%,1/5,2.25,5.6%,64.7%,39.4%,9.8%,2.16,8.8%,69.7%,60.9%,3.0%,2.41,0.0%
2026 Indian Wells QF,L vs Svitolina,66.3%,49.2%,3.4%,0/3,2.35,6.7%,68.5%,40.5%,1.9%,2.31,9.8%,75.9%,63.6%,6.9%,2.44,0.0%
2026 Indian Wells R16,W vs Muchova,59.0%,30.4%,20.5%,4/4,2.78,4.3%,66.7%,30.0%,3.3%,2.66,6.5%,50.0%,33.3%,1.17,3.00,0.0%
2026 Indian Wells R32,W vs Sakkari,82.3%,64.7%,4.8%,2/1,2.35,18.9%,81.4%,54.3%,4.7%,2.38,26.9%,88.9%,87.5%,5.6%,2.28,0.0%
2026 Indian Wells R64,W vs Day,70.9%,71.8%,14.5%,3/5,2.72,4.4%,62.5%,70.0%,3.1%,2.83,4.8%,86.4%,73.7%,31.8%,2.61,4.2%
2026 Doha QF,L vs Sakkari,82.4%,50.0%,3.9%,4/0,2.26,12.1%,80.8%,44.4%,1.3%,2.40,22.6%,95.5%,66.7%,13.6%,2.11,0.0%
2026 Doha R16,W vs Kasatkina,77.8%,64.3%,4.4%,3/1,1.99,6.3%,80.3%,55.1%,1.6%,2.20,10.3%,84.0%,85.7%,12.0%,1.64,0.0%
2026 Doha R32,W vs Tjen,76.6%,72.2%,2.1%,1/0,2.58,16.0%,79.2%,63.2%,0.0%,3.00,20.0%,77.3%,82.4%,4.5%,1.94,10.0%
2026 Australian Open QF,L vs Rybakina,52.5%,51.6%,8.5%,4/1,2.44,0.0%,37.9%,54.5%,6.9%,2.59,0.0%,74.1%,50.0%,11.1%,2.29,0.0%
2026 Australian Open R16,W vs Inglis,85.7%,61.9%,2.0%,1/0,2.65,6.9%,85.7%,58.3%,0.0%,2.59,14.3%,94.7%,66.7%,5.3%,2.71,0.0%
2026 Australian Open R32,W vs Kalinskaya,73.5%,62.0%,5.9%,3/1,2.14,10.2%,77.1%,67.6%,6.3%,2.20,16.7%,72.2%,46.2%,5.6%,2.06,0.0%
2026 Australian Open R64,W vs Bouzkova,76.0%,60.5%,4.0%,0/2,2.18,10.9%,83.9%,65.4%,0.0%,2.01,13.3%,80.0%,50.0%,13.3%,2.51,6.3%
2026 Australian Open R128,W vs Yuan,74.4%,65.6%,9.8%,5/3,2.42,0.0%,66.7%,59.4%,4.2%,2.32,0.0%,85.3%,72.4%,17.6%,2.55,0.0%
2026 United Cup F,L vs Bencic,70.4%,46.0%,9.9%,3/4,2.44,9.1%,70.0%,40.0%,6.0%,2.56,15.4%,78.9%,60.0%,21.1%,2.27,0.0%
2026 United Cup SF,L vs Gauff,54.2%,59.4%,11.9%,5/2,2.22,0.0%,56.8%,48.0%,11.4%,2.35,0.0%,63.6%,100.0%,18.2%,2.00,0.0%
2026 United Cup QF,W vs Joint,76.3%,72.4%,5.3%,0/2,2.18,0.0%,80.0%,68.8%,5.0%,2.08,0.0%,86.7%,76.9%,6.7%,2.49,0.0%
2026 United Cup RR,W vs Lamens,76.1%,45.7%,0.0%,0/0,2.35,6.5%,84.4%,44.4%,0.0%,2.46,10.5%,88.9%,50.0%,0.0%,2.18,0.0%
2026 United Cup RR,W vs Lys,80.2%,58.8%,11.3%,4/8,2.38,0.0%,88.2%,55.0%,7.4%,2.49,0.0%,78.1%,68.0%,21.9%,2.18,0.0%
2025 Riyadh Finals RR,L vs Anisimova,69.7%,44.9%,13.1%,11/2,2.76,7.0%,73.4%,38.3%,7.8%,2.75,11.6%,66.7%,59.1%,24.2%,2.78,0.0%
2025 Riyadh Finals RR,L vs Rybakina,59.0%,41.7%,3.3%,1/1,2.63,4.1%,63.2%,37.5%,0.0%,2.61,6.1%,60.0%,50.0%,10.0%,2.66,0.0%
Last 52 Weeks (54 matches),,71.7%,56.9%,7.2%,49.8%,2.43,9.2%,72.7%,52.1%,4.4%,2.43,14.6%,79.5%,65.1%,13.1%,2.43,1.2%
Career (369 matches),,72.4%,59.0%,5.6%,50.6%,2.45,7.1%,73.0%,55.1%,4.1%,2.43,10.4%,82.7%,65.3%,9.2%,2.49,1.7%
