Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open QF,L vs Pegula,92.4,96.9,10.6,96.7,93.9,112,75,81.6,3.0,84.5,79.8,87,75
2024 US Open R16,W vs Samsonova,94.3,102.1,8.9,100.2,97.5,114,73,79.3,5.0,81.0,80.0,88,67
2024 US Open R32,W vs Pavlyuchenkova,98.2,106.3,6.7,103.9,95.0,115,92,81.7,4.6,83.3,82.7,90,70
2024 US Open R64,W vs Shibahara,99.1,106.7,5.1,109.6,103.6,114,96,80.9,3.2,83.3,83.0,86,77
2024 US Open R128,W vs Rakhimova,96.5,105.5,7.3,107.3,102.4,115,86,84.2,5.4,84.0,83.0,96,73
2024 Wimbledon R32,L vs Putintseva,98.5,105.2,7.4,105.1,98.5,116,86,84.0,2.9,84.5,82.7,93,79
2024 Wimbledon R64,W vs Martic,99.0,105.2,7.7,101.0,94.9,116,89,85.9,4.2,88.2,85.5,97,77
2024 Wimbledon R128,W vs Kenin,95.2,102.0,9.2,102.6,94.5,115,86,86.8,3.7,85.0,86.9,95,80
2023 US Open R16,L vs Ostapenko,95.3,103.1,9.6,102.1,94.8,116,83,80.8,4.2,79.0,82.7,89,73
2023 US Open R32,W vs Juvan,93.3,104.2,6.9,98.6,102.3,114,92,79.4,3.4,78.0,79.7,85,72
2023 US Open R64,W vs Saville,93.9,101.9,9.4,99.8,93.3,116,80,78.3,5.8,80.0,76.0,93,68
2023 US Open R128,W vs Peterson,97.3,105.2,8.9,104.5,95.5,113,81,75.6,5.7,82.0,72.7,84,66
2023 Wimbledon QF,L vs Svitolina,94.1,99.6,7.4,102.4,96.5,113,77,78.0,5.0,75.0,,88,70
2023 Wimbledon R16,W vs Bencic,95.8,102.5,8.4,106.0,98.3,115,85,80.8,4.8,75.5,76.0,91,73
2023 Wimbledon R32,W vs Martic,97.0,102.9,7.0,102.0,100.0,117,92,80.5,6.0,70.0,,95,69
2023 Wimbledon R64,W vs Sorribes Tormo,93.5,102.2,7.9,103.7,94.8,114,85,76.8,9.2,,73.5,100,67
2023 Wimbledon R128,W vs Zhu,92.7,101.4,10.3,101.3,94.0,115,68,78.0,4.7,76.0,71.0,87,71
2022 US Open F,W vs Jabeur,97.1,100.7,7.6,103.3,92.0,113,79,81.2,3.9,83.0,82.0,87,74
2022 US Open SF,W vs Sabalenka,94.1,99.0,6.8,100.7,96.3,110,81,78.7,2.2,77.5,,82,75
2022 US Open QF,W vs Pegula,93.2,98.5,6.3,99.1,90.2,109,84,81.0,4.7,85.0,,87,70
Career (39 matches),,94.1,101.4,7.8,103.3,96.5,117,63,81.1,5.0,82.0,80.9,105,64
