Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,18,12,6,66.7%,28-15,65.1%,217-155,58.3%,2-0,100.0%,13,75.2%,44.7%,4.6%,4.5%,61.2%,69.3%,51.2%,62.3%,47.7%,54.8%,1.26,F (United Cup)
2025,79,62,17,78.5%,130-43,75.1%,932-605,60.6%,8-7,53.3%,79,76.6%,44.4%,5.0%,4.8%,61.7%,69.5%,49.1%,61.7%,47.5%,54.6%,1.24,W (3x)
2024,73,64,9,87.7%,129-31,80.6%,895-518,63.3%,7-3,70.0%,73,82.0%,44.8%,3.2%,2.6%,66.3%,69.6%,54.0%,64.3%,48.0%,56.0%,1.34,W (6x)
2023,80,68,12,85.0%,139-30,82.2%,959-507,65.4%,11-5,68.8%,79,80.3%,49.7%,2.8%,2.7%,65.5%,70.0%,54.5%,64.6%,49.9%,57.1%,1.41,W (6x)
2022,76,67,9,88.2%,138-34,80.2%,960-535,64.2%,6-5,54.5%,75,77.0%,50.8%,3.2%,3.3%,65.7%,66.5%,52.0%,61.6%,50.2%,55.9%,1.31,W (8x)
2021,51,36,15,70.6%,74-35,67.9%,568-421,57.4%,5-3,62.5%,47,76.1%,38.9%,4.2%,4.2%,56.8%,69.1%,53.4%,62.3%,45.1%,53.4%,1.20,W (2x)
2020,21,16,5,76.2%,33-12,73.3%,248-167,59.8%,1-2,33.3%,21,72.2%,48.3%,3.7%,3.3%,57.3%,64.4%,52.9%,59.5%,48.5%,53.9%,1.20,W (Roland Garros)
2019,28,15,13,53.6%,32-32,50.0%,284-280,50.4%,2-4,33.3%,28,65.7%,34.9%,5.5%,5.1%,54.0%,63.9%,49.4%,57.2%,43.4%,50.3%,1.01,F (Lugano)
2018,1,1,0,100.0%,2-0,100.0%,12-4,75.0%,0-0,-,1,75.0%,75.0%,7.7%,3.8%,57.7%,53.3%,77.3%,63.5%,57.6%,60.4%,1.58,
Career,427,341,86,79.9%,705-232,75.2%,5075-3192,61.4%,42-29,59.2%,416,77.2%,45.6%,3.8%,3.6%,62.6%,68.3%,52.2%,62.3%,48.0%,55.0%,1.27,
