Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-10-28),1193,10,,,,,,,,,112,754,,
2023,766,41,,,,,,,,,,,,
2022,608,54,,,,,,,,,,,,
2021,448,113,,,,,,,,,,,,
2020,465,92,,,,,,,,,219,373,,
2019,443,93,,,,,,,,,185,412,,
2018,533,38,,,,,,,,,399,132,,
2017,418,89,,,,,,,,,662,50,,
2016,513,57,,,,,,,,,695,43,,
2015,763,21,,,,,,,,,622,54,,
2014,498,51,,,,,,,,,552,61,,
2013,563,54,,,,,,,,,499,92,,
2012,733,26,,,,,,,,,916,19,,
2011,801,22,,,,,,,,,1035,14,,
