Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,35,20,15,57.1%,43-37,53.8%,388-371,51.1%,6-5,54.5%,3,44.8%,30.0%,5.3%,14.4%,52.7%,62.6%,30.3%,47.3%,41.3%,44.2%,0.79
Clay,16,7,9,43.8%,15-19,44.1%,159-175,47.6%,3-1,75.0%,6,51.9%,44.2%,2.2%,7.1%,63.0%,58.1%,36.1%,50.0%,47.2%,48.6%,0.94
Finals,2,1,1,50.0%,2-3,40.0%,24-28,46.2%,2-1,66.7%,0,,,,,,,,,,,
Semi-finals,3,2,1,66.7%,5-3,62.5%,40-35,53.3%,0-1,0.0%,0,,,,,,,,,,,
Quarter-finals,7,3,4,42.9%,7-8,46.7%,58-67,46.4%,0-0,-,1,0.0%,50.0%,0.0%,9.1%,61.4%,22.2%,23.5%,22.7%,48.1%,36.7%,0.62
vs Righties,30,13,17,43.3%,29-38,43.3%,309-343,47.4%,6-6,50.0%,4,47.4%,36.8%,3.7%,11.5%,54.9%,56.0%,38.2%,48.0%,44.6%,46.1%,0.86
vs Lefties,3,0,3,0.0%,1-6,14.3%,29-43,40.3%,0-0,-,1,36.4%,40.0%,3.0%,13.6%,54.5%,55.6%,20.0%,39.4%,45.5%,42.1%,0.75
