Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 Nottingham F,W vs Zhang,38.5%,53.8%,56.5%,48.0%,60.0%,61.5%,58.3%,84.6%,-,23.1%,46.2%,50.0%,33.3%,70.0%,100.0%,-104
2020 Cincinnati SF,L vs Azarenka,28.1%,36.0%,37.3%,37.7%,49.1%,42.4%,30.0%,52.2%,50.0%,16.1%,19.4%,30.8%,44.4%,27.3%,50.0%,3
2020 Cincinnati QF,W vs Sakkari,28.0%,52.0%,69.4%,35.7%,50.0%,72.2%,57.1%,57.1%,-,18.2%,54.5%,66.7%,44.4%,69.2%,100.0%,-104
2020 Monterrey SF,L vs Bouzkova,17.5%,36.5%,58.3%,23.1%,46.2%,56.7%,52.4%,55.6%,100.0%,10.0%,25.0%,61.1%,57.1%,61.5%,100.0%,-23
2020 Monterrey R32,W vs Clijsters,38.9%,59.3%,65.6%,44.4%,66.7%,64.0%,40.0%,56.0%,-,12.5%,25.0%,71.4%,0.0%,50.0%,-,9
2019 US Open QF,L vs Svitolina,26.6%,35.9%,39.1%,26.8%,41.5%,43.3%,66.7%,55.0%,40.0%,27.3%,27.3%,31.3%,60.0%,91.7%,50.0%,-51
2019 US Open R16,W vs Pliskova,22.1%,32.7%,51.9%,25.7%,38.6%,57.7%,58.1%,53.8%,33.3%,14.7%,20.6%,41.4%,18.8%,55.6%,0.0%,-104
2019 Wimbledon QF,L vs Strycova,10.6%,30.3%,51.7%,12.2%,29.3%,44.4%,55.6%,56.5%,50.0%,8.3%,33.3%,63.6%,33.3%,60.0%,50.0%,-56
2019 Wimbledon R16,W vs Kvitova,40.2%,48.6%,40.0%,47.9%,59.2%,48.6%,56.8%,50.0%,50.0%,28.1%,31.3%,26.1%,63.6%,42.9%,20.0%,30
2019 Wimbledon R32,W vs Stephens,35.6%,44.8%,47.3%,43.3%,51.7%,38.2%,54.8%,41.4%,50.0%,19.2%,30.8%,61.9%,44.4%,35.3%,0.0%,-59
2019 Wimbledon R64,W vs Siniakova,37.3%,56.9%,70.0%,42.1%,63.2%,68.2%,47.1%,66.7%,-,27.3%,45.5%,75.0%,75.0%,57.1%,-,82
2019 Roland Garros SF,L vs Vondrousova,14.0%,30.2%,50.0%,14.8%,31.1%,46.2%,53.3%,38.7%,75.0%,13.0%,30.4%,60.0%,100.0%,56.3%,0.0%,-7
2019 Roland Garros QF,W vs Stephens,37.0%,53.7%,65.6%,44.7%,63.2%,76.2%,53.3%,30.4%,100.0%,21.4%,35.7%,45.5%,44.4%,60.0%,-,47
2019 Rome F,L vs Pliskova,31.3%,37.5%,46.3%,37.8%,46.7%,42.9%,52.6%,46.2%,20.0%,18.8%,18.8%,53.8%,30.0%,66.7%,50.0%,63
2019 Rome SF,W vs Bertens,17.3%,26.9%,50.6%,16.9%,27.7%,57.4%,67.7%,52.9%,50.0%,19.4%,27.8%,37.9%,64.3%,45.5%,66.7%,-11
2019 Rome QF,W vs Vondrousova,23.1%,41.0%,57.1%,24.1%,46.6%,59.1%,55.2%,44.8%,50.0%,25.0%,31.3%,50.0%,66.7%,30.0%,-,111
2019 Rome R16,W vs Williams,35.2%,51.9%,45.7%,34.2%,55.3%,52.0%,50.0%,60.0%,100.0%,37.5%,43.8%,30.0%,28.6%,11.1%,0.0%,-104
2019 Madrid R32,L vs Halep,20.3%,28.8%,37.8%,20.0%,30.0%,43.8%,68.8%,54.2%,42.9%,23.5%,29.4%,23.1%,83.3%,100.0%,100.0%,23
2019 Rabat F,L vs Sakkari,19.3%,33.7%,47.7%,21.8%,41.8%,51.2%,60.0%,60.0%,50.0%,15.4%,19.2%,40.9%,81.8%,53.3%,100.0%,-18
2019 Indian Wells R32,L vs Bertens,28.0%,34.4%,49.2%,39.0%,47.5%,55.6%,44.4%,53.1%,40.0%,9.4%,12.5%,41.4%,10.0%,40.9%,-,-33
Career (66 matches),,25.9%,37.0%,48.8%,32.0%,45.3%,51.4%,49.4%,50.1%,52.8%,16.7%,24.6%,44.8%,32.9%,58.5%,63.4%,10
