Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,22,13,9,59.1%,4,3,1,75.0%,2013,2021,SF,21,1.14,7.1%,3.6%,63.8%,69.5%,52.5%,63.3%,41.8%,63.1%,42.0%
Roland Garros,9,Clay,20,11,9,55.0%,6,2,4,33.3%,2013,2021,SF,17,1.05,4.9%,3.8%,63.1%,66.4%,49.8%,60.3%,41.7%,60.4%,43.3%
Wimbledon,8,Grass,19,11,8,57.9%,7,5,2,71.4%,2012,2019,SF,19,1.03,6.3%,3.8%,65.0%,67.9%,50.7%,61.9%,39.1%,63.6%,37.8%
US Open,9,Hard,27,18,9,66.7%,7,4,3,57.1%,2012,2020,QF,21,1.16,5.0%,3.3%,62.0%,66.9%,52.7%,61.5%,44.7%,61.3%,43.3%
Olympics,1,,4,3,1,75.0%,0,0,0,-,2016,2016,QF,4,1.09,5.2%,3.6%,61.2%,62.7%,51.5%,58.4%,45.5%,58.8%,42.9%
Fed Cup,6,,22,16,6,72.7%,6,3,3,50.0%,2013,2019,,17,1.23,5.7%,2.9%,67.1%,66.6%,51.7%,61.7%,47.2%,66.1%,47.3%
Eastbourne,8,Grass,22,14,8,63.6%,5,5,0,100.0%,2017,2019,SF,21,1.11,6.7%,4.0%,66.5%,68.0%,48.8%,61.5%,42.7%,60.3%,39.9%
Birmingham,7,Grass,13,6,7,46.2%,2,2,0,100.0%,2013,2019,R16,13,0.98,6.6%,5.1%,68.4%,68.7%,43.5%,60.7%,38.4%,57.5%,40.5%
Rome,6,Clay,17,11,6,64.7%,1,0,1,0.0%,2016,2021,F,17,1.10,4.8%,2.5%,62.9%,65.4%,48.5%,59.1%,45.0%,64.3%,46.1%
Indian Wells,6,Hard,13,7,6,53.8%,4,0,4,0.0%,2014,2019,R16,11,1.11,6.3%,3.2%,62.9%,66.4%,50.9%,60.6%,43.8%,62.7%,50.0%
Cincinnati,6,Hard,12,6,6,50.0%,3,1,2,33.3%,2016,2021,SF,12,1.09,7.4%,4.2%,58.0%,71.4%,50.3%,62.5%,40.7%,64.3%,34.5%
Nottingham,5,Grass,20,16,4,80.0%,5,3,2,60.0%,2015,2021,W,20,1.25,7.5%,3.4%,65.3%,71.0%,51.1%,64.1%,44.9%,62.4%,48.3%
