Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,200,124,76,62.0%,274-177,60.8%,2327-1934,54.6%,24-27,47.1%,184,76.9%,34.9%,6.3%,3.9%,62.0%,68.3%,50.8%,61.6%,43.7%,52.4%,1.14
Clay,51,25,26,49.0%,58-59,49.6%,555-530,51.2%,3-8,27.3%,50,70.6%,33.5%,4.9%,3.0%,64.0%,64.5%,48.3%,58.7%,42.3%,50.5%,1.02
Grass,72,46,26,63.9%,102-61,62.6%,843-713,54.2%,14-4,77.8%,71,80.5%,31.4%,6.9%,3.8%,66.3%,69.0%,49.5%,62.5%,41.7%,51.9%,1.11
Grand Slams,68,39,29,57.4%,88-68,56.4%,802-708,53.1%,11-9,55.0%,66,79.0%,30.8%,6.1%,3.4%,63.6%,68.2%,51.6%,62.1%,41.6%,51.8%,1.10
Premiers,131,76,55,58.0%,170-122,58.2%,1473-1259,53.9%,14-15,48.3%,124,75.5%,32.9%,6.5%,3.7%,62.8%,67.7%,50.2%,61.2%,42.8%,51.8%,1.10
Internationals,69,45,24,65.2%,99-56,63.9%,811-662,55.1%,12-8,60.0%,65,77.6%,36.8%,6.2%,4.5%,63.2%,68.7%,49.3%,61.6%,44.0%,52.4%,1.15
Finals,9,4,5,44.4%,11-11,50.0%,108-99,52.2%,0-1,0.0%,8,75.0%,28.1%,7.5%,2.6%,64.1%,66.2%,49.3%,60.2%,39.4%,50.2%,0.99
Semi-finals,19,9,10,47.4%,22-21,51.2%,216-207,51.1%,3-2,60.0%,18,73.6%,30.5%,5.3%,3.2%,62.7%,66.9%,50.1%,60.7%,41.7%,50.8%,1.06
Quarter-finals,34,18,16,52.9%,41-39,51.2%,395-387,50.5%,7-8,46.7%,33,73.3%,29.4%,6.1%,4.0%,62.5%,68.6%,48.7%,61.1%,41.9%,50.8%,1.08
vs Righties,294,180,114,61.2%,401-264,60.3%,3399-2867,54.2%,38-35,52.1%,277,76.9%,34.4%,6.3%,3.6%,63.0%,68.0%,50.3%,61.4%,43.1%,52.1%,1.12
vs Lefties,28,14,14,50.0%,31-33,48.4%,314-309,50.4%,3-4,42.9%,27,72.8%,29.0%,5.4%,4.5%,65.9%,65.9%,47.8%,59.7%,41.6%,50.5%,1.03
vs Top 10,48,22,26,45.8%,51-63,44.7%,525-569,48.0%,7-7,50.0%,43,69.7%,26.9%,5.1%,3.4%,62.7%,65.7%,45.7%,58.2%,40.4%,49.2%,0.97
