Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),379,128,376,1400,343,1375,319,1376,,,,,,
2025,390,124,401,1362,378,1334,338,1355,,,,,,
2024,452,93,369,1366,356,1332,330,1359,,,783,51,,
2023,185,326,309,1421,297,1393,264,1410,230,1380,,,,
2022,194,287,209,1534,257,1430,178,1531,,,,,,
2021,301,176,271,1462,282,1391,238,1450,,,,,,
2020,382,106,,,,,,,,,383,120,,
2019,346,112,340,1401,329,1363,287,1395,,,312,165,,
2018,489,13,,,,,,,,,551,23,,
2017,562,53,,,,,,,,,427,131,,
2016,754,27,,,,,,,,,679,72,,
2015,1281,5,,,,,,,,,,,,
