Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1977,,,4,2058,4,1840,,,,,,,,
1975,,,3,2148,4,1966,3,2028,3,2033,,,,
1974,,,9,1963,8,1840,,,6,1969,,,,
1973,,,1,2313,2,2090,2,2211,1,2182,,,,
1972,,,2,2292,2,2067,3,2160,2,2182,,,,
1971,,,1,2373,1,2161,1,2267,1,2276,,,,
1970,,,1,2363,1,2129,1,2255,1,2269,,,,
1969,,,1,2303,1,2075,1,2202,1,2219,,,,
1968,,,2,2223,2,2008,1,2113,2,2133,,,,
1966,,,1,2290,1,1993,1,2190,1,2237,,,,
1965,,,1,2334,1,1995,1,2227,1,2269,,,,
1964,,,1,2329,3,1925,1,2255,1,2219,,,,
1963,,,1,2258,3,1849,1,2139,1,2171,,,,
1962,,,1,2299,,,1,2164,1,2200,,,,
1961,,,2,2124,7,1707,2,1980,1,2044,,,,
1960,,,19,1796,,,21,1663,15,1753,,,,
