Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Grass,63,60,3,95.2%,1,1,0,100.0%,1959,1974,W,0,,,,,,,,,,
Roland Garros,10,Clay,49,44,5,89.8%,3,2,1,66.7%,1961,1973,W,0,,,,,,,,,,
Wimbledon,12,Grass,60,51,9,85.0%,0,0,0,-,1961,1975,W,0,,,,,,,,,,
US Open,11,Clay,58,52,6,89.7%,3,3,0,100.0%,1961,1975,W,0,,,,,,,,,,
Fed Cup,6,,20,20,0,100.0%,0,0,0,-,1963,1970,,0,,,,,,,,,,
Melbourne,12,Grass,53,49,4,92.5%,6,3,3,50.0%,1957,1976,W,0,,,,,,,,,,
Sydney,12,Grass,49,43,6,87.8%,1,0,1,0.0%,1959,1976,W,0,,,,,,,,,,
Perth,7,Grass,34,32,2,94.1%,0,0,0,-,1965,1974,W,0,,,,,,,,,,
Beckenham,6,Grass,27,26,1,96.3%,0,0,0,-,1961,1968,W,0,,,,,,,,,,
Brisbane,6,Grass,19,18,1,94.7%,0,0,0,-,1959,1965,W,0,,,,,,,,,,
Johannesburg,5,Hard,26,24,2,92.3%,2,2,0,100.0%,1966,1974,W,0,,,,,,,,,,
