Date,Tournament,Surface,Rd,,Score
02-Sep-1970,US Open,Grass,F,Court / Marty Riessen [USA] d. Judy Tegart [AUS] / Frew Mcmillan [RSA],6-4 6-4
20-Jul-1970,Budapest,Clay,F,Court / Bob Howe [AUS] d. Barbara Kral / Wieslaw Gasiorek [POL],6-1 6-1
28-Aug-1969,US Open,Grass,F,(2) Court / Marty Riessen [USA] d. (5) Francoise Durr [FRA] / Dennis Ralston [USA],7-5 6-2
26-May-1969,Roland Garros,Clay,F,(4) Court / Marty Riessen [USA] d. (3) Francoise Durr / Jean Claude Barclay [FRA],6-3 6-2
24-Jun-1968,Wimbledon,Grass,F,(4) Court / Ken Fletcher [AUS] d. Olga Morozova [URS] / Alex Metreveli [RUS],6-1 14-12
19-Jan-1968,Australian Championships,Grass,F,(2) Billie Jean King [USA] / Dick Crealy [AUS] d. (4) Court / Allan Stone [AUS],W/O
20-Jun-1966,Wimbledon,Grass,F,(1) Court / Ken Fletcher [AUS] d. (3) Billie Jean King / Dennis Ralston [USA],4-6 6-3 6-3
03-Sep-1965,US National Championships,Grass,F,Court / Fred Stolle [AUS] d. Judy Tegart [AUS] / Frank Froehling [USA],6-2 6-2
22-Jun-1965,Wimbledon,Grass,F,(2) Court / Ken Fletcher [AUS] d. Judy Tegart / Tony Roche [AUS],12-10 6-3
17-May-1965,Roland Garros,Clay,F,Court / Ken Fletcher [AUS] d. Maria Bueno [BRA] / John Newcombe [AUS],6-4 6-4
02-Sep-1964,US National Championships,Grass,F,Court / John Newcombe [AUS] d. Judy Tegart [AUS] / Ed Rubinoff [USA],10-8 4-6 6-3
22-Jun-1964,Wimbledon,Grass,F,(2) Lesley Turner / Fred Stolle [AUS] d. (1) Court / Ken Fletcher [AUS],6-4 6-4
19-May-1964,Roland Garros,Clay,F,Court / Ken Fletcher [AUS] d. Lesley Turner / Fred Stolle [AUS],6-3 6-4
04-Jan-1964,Australian Championships,Grass,F,(1) Court / Ken Fletcher [AUS] d. (3) Jan Lehane [AUS] / Michael Sangster [GBR],6-3 6-2
28-Aug-1963,US National Championships,Grass,F,Court / Ken Fletcher [AUS] d. Judy Tegart [AUS] / Ed Rubinoff [USA],3-6 8-6 6-2
26-Jun-1963,Wimbledon,Grass,F,(2) Court / Ken Fletcher [AUS] d. Darlene Hard [USA] / Bob Hewitt [RSA],11-9 6-4
13-May-1963,Roland Garros,Clay,F,Court / Ken Fletcher [AUS] d. Lesley Turner / Fred Stolle [AUS],6-1 6-2
10-Jan-1963,Australian Championships,Grass,F,(2) Court / Ken Fletcher [AUS] d. (1) Lesley Turner / Fred Stolle [AUS],7-5 5-7 6-4
31-Aug-1962,US National Championships,Grass,F,Court / Fred Stolle [AUS] d. Lesley Turner [AUS] / Frank Froehling [USA],7-5 6-2
01-Sep-1961,US National Championships,Grass,F,Court / Bob Mark [AUS] d. Darlene Hard / Dennis Ralston [USA],W/O
