Date,Tournament,Surface,Rd,,Score
02-Sep-1970,US Open,Grass,F,(1) Court / Judy Tegart [AUS] d. (2) Rosie Casals [USA] / Virginia Wade [GBR],6-3 6-4
19-Jan-1970,Australian Open,Grass,F,(1) Court / Judy Tegart [AUS] d. (2) Karen Krantzcke / Kerry Reid [AUS],6-3 6-4
28-Aug-1969,US Open,Grass,F,(2) Francoise Durr [FRA] / Darlene Hard [USA] d. (3) Court / Virginia Wade [GBR],0-6 6-3 6-4
23-Jun-1969,Wimbledon,Grass,F,(1) Court / Judy Tegart [AUS] d. Patti Hogan / Peggy Michel [USA],9-7 6-2
26-May-1969,Roland Garros,Clay,F,(3) Francoise Durr [FRA] / Ann Jones [GBR] d. (1) Court / Nancy Richey [USA],6-0 4-6 7-5
20-Jan-1969,Australian Open,Grass,F,(2) Court / Judy Tegart [AUS] d. (1) Rosie Casals / Billie Jean King [USA],6-4 6-4
29-Aug-1968,US Open,Grass,F,(3) Court / Maria Bueno [BRA] d. (1) Rosie Casals / Billie Jean King [USA],4-6 9-7 8-6
20-Jun-1966,Wimbledon,Grass,F,(2) Maria Bueno [BRA] / Nancy Richey [USA] d. (1) Court / Judy Tegart [AUS],6-3 4-6 6-4
22-May-1966,Roland Garros,Clay,F,(1) Court / Judy Tegart [AUS] d. Jill Blackman / Fay Toyne [AUS],4-6 6-1 6-1
21-Jan-1966,Australian Championships,Grass,F,(2) Carole Graebner / Nancy Richey [USA] d. (1) Court / Lesley Turner [AUS],6-4 7-5
17-May-1965,Roland Garros,Clay,F,Court / Lesley Turner [AUS] d. Francoise Durr / Janine Lieffrig [FRA],6-3 6-1
22-Jan-1965,Australian Championships,Grass,F,(1) Court / Lesley Turner [AUS] d. (3) Robyn Ebbern [AUS] / Billie Jean King [USA],1-6 6-2 6-3
02-Sep-1964,US National Championships,Grass,F,(2) Billie Jean King / Karen Susman [USA] d. (1) Court / Lesley Turner [AUS],3-6 6-2 6-4
22-Jun-1964,Wimbledon,Grass,F,(1) Court / Lesley Turner [AUS] d. (2) Billie Jean King / Karen Susman [USA],7-5 6-2
19-May-1964,Roland Garros,Clay,F,(1) Court / Lesley Turner [AUS] d. Norma Baylon [ARG] / Helga Schultze [GER],6-3 6-0
04-Jan-1964,Australian Championships,Grass,F,(2) Judy Tegart / Lesley Turner [AUS] d. (1) Court / Robyn Ebbern [AUS],6-4 6-4
28-Aug-1963,US National Championships,Grass,F,(2) Court / Robyn Ebbern [AUS] d. (1) Maria Bueno [BRA] / Darlene Hard [USA],4-6 10-8 6-3
26-Jun-1963,Wimbledon,Grass,F,(2) Maria Bueno [BRA] / Darlene Hard [USA] d. (1) Court / Robyn Ebbern [AUS],8-6 9-7
13-May-1963,Roland Garros,Clay,F,Ann Jones [GBR] / Renee Schuurman [RSA] d. Court / Robyn Ebbern [AUS],7-5 6-4
10-Jan-1963,Australian Championships,Grass,F,(1) Court / Robyn Ebbern [AUS] d. (2) Jan Lehane / Lesley Turner [AUS],6-1 6-3
