Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,447,275,172,61.5%,591-379,60.9%,4745-3872,55.1%,36-28,56.3%,295,-,-,3.9%,7.7%,60.6%,65.0%,45.0%,57.1%,47.0%,52.0%,1.10
Clay,116,55,61,47.4%,126-129,49.4%,1151-1170,49.6%,13-9,59.1%,87,-,-,2.3%,5.8%,64.2%,60.6%,42.9%,54.3%,46.2%,50.3%,1.01
Grass,81,56,25,69.1%,118-55,68.2%,907-694,56.7%,6-2,75.0%,67,-,-,4.2%,5.3%,63.4%,68.2%,46.5%,60.3%,46.1%,53.1%,1.16
Carpet,20,11,9,55.0%,25-19,56.8%,211-196,51.8%,4-2,66.7%,12,-,-,3.5%,8.2%,62.9%,64.4%,42.1%,56.1%,44.6%,50.2%,1.02
Grand Slams,125,79,46,63.2%,175-109,61.6%,1401-1168,54.5%,11-6,64.7%,109,-,-,3.6%,5.8%,63.5%,64.6%,45.0%,57.4%,46.8%,52.1%,1.10
Premiers,299,165,134,55.2%,361-288,55.6%,3083-2795,52.4%,28-26,51.9%,228,-,-,3.3%,7.1%,61.4%,64.6%,45.1%,57.1%,45.4%,51.2%,1.06
Internationals,161,102,59,63.4%,218-122,64.1%,1687-1271,57.0%,13-7,65.0%,68,-,-,4.6%,7.5%,62.4%,64.7%,44.1%,56.9%,49.1%,53.1%,1.14
Finals,19,8,11,42.1%,18-23,43.9%,183-188,49.3%,0-1,0.0%,11,-,-,2.1%,7.9%,62.6%,63.0%,42.2%,55.2%,41.6%,48.3%,0.93
Semi-finals,47,18,29,38.3%,41-58,41.4%,416-468,47.1%,3-2,60.0%,32,-,-,3.4%,7.3%,62.9%,58.9%,40.3%,52.0%,42.5%,47.2%,0.89
Quarter-finals,87,47,40,54.0%,101-83,54.9%,865-806,51.8%,9-3,75.0%,60,-,-,3.7%,7.3%,61.3%,65.1%,42.6%,56.4%,45.3%,50.8%,1.04
vs Righties,596,347,249,58.2%,752-531,58.6%,6173-5347,53.6%,51-36,58.6%,412,-,-,3.5%,7.1%,61.7%,64.0%,44.3%,56.4%,46.6%,51.5%,1.07
vs Lefties,65,47,18,72.3%,102-51,66.7%,804-567,58.6%,7-5,58.3%,47,-,-,4.5%,6.2%,63.0%,68.5%,48.1%,61.0%,46.5%,53.6%,1.19
vs Top 10,82,24,58,29.3%,55-120,31.4%,636-899,41.4%,4-3,57.1%,64,-,-,2.6%,7.3%,62.3%,57.0%,38.8%,50.1%,42.2%,46.1%,0.85
