Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2013 Wimbledon F,W vs Lisicki,24.1%,27.6%,63.2%,28.2%,33.3%,71.4%,11.8%,50.0%,33.3%,23.1%,23.1%,40.0%,44.4%,50.0%,-,63
2013 Wimbledon SF,W vs Flipkens,27.3%,31.8%,65.5%,29.6%,37.0%,68.4%,46.2%,71.4%,100.0%,28.6%,28.6%,60.0%,42.9%,57.1%,0.0%,109
2013 Dubai QF,L vs Wozniacki,13.7%,19.6%,44.6%,16.7%,22.2%,42.2%,36.4%,18.8%,10.0%,14.7%,23.5%,48.3%,31.6%,13.3%,0.0%,1
2012 Montreal R16,L vs Kvitova,25.5%,25.5%,26.7%,26.7%,26.7%,31.8%,17.6%,30.8%,0.0%,33.3%,33.3%,12.5%,33.3%,0.0%,0.0%,152
2012 Indian Wells QF,L vs Ivanovic,24.5%,30.6%,57.6%,21.9%,31.3%,60.0%,20.0%,47.1%,0.0%,38.5%,38.5%,50.0%,66.7%,14.3%,100.0%,180
2011 Eastbourne F,W vs Kvitova,27.1%,32.3%,48.5%,22.8%,29.8%,50.0%,20.0%,53.1%,33.3%,37.1%,40.0%,45.5%,72.7%,38.5%,66.7%,20
2011 Roland Garros SF,L vs Schiavone,13.8%,22.4%,47.9%,16.1%,29.0%,38.5%,23.1%,61.1%,50.0%,12.0%,16.0%,59.1%,78.6%,27.3%,100.0%,-14
2011 Indian Wells F,L vs Wozniacki,12.7%,17.7%,43.8%,15.4%,23.1%,43.2%,36.0%,40.7%,0.0%,9.1%,9.1%,45.0%,92.3%,11.1%,33.3%,-33
2011 Doha SF,L vs Wozniacki,9.1%,11.4%,30.8%,7.1%,10.7%,26.9%,50.0%,25.0%,25.0%,13.3%,13.3%,38.5%,77.8%,0.0%,0.0%,-28
2011 Hobart R32,W vs Safina,16.3%,27.9%,71.0%,22.2%,37.0%,57.1%,50.0%,20.0%,0.0%,9.1%,18.2%,100.0%,100.0%,42.9%,-,-47
2007 Wimbledon F,L vs Williams,15.9%,19.0%,47.9%,20.0%,22.5%,50.0%,77.8%,36.4%,0.0%,11.1%,16.7%,43.8%,90.9%,0.0%,0.0%,-19
2007 Wimbledon SF,W vs Henin,10.3%,24.1%,49.4%,10.8%,27.0%,51.5%,91.4%,15.4%,0.0%,8.3%,8.3%,36.4%,75.0%,25.0%,0.0%,-30
2007 Eastbourne SF,L vs Henin,22.9%,33.3%,40.0%,28.6%,34.3%,40.0%,50.0%,47.4%,25.0%,9.1%,36.4%,40.0%,40.0%,33.3%,-,-30
Career (13 matches),,18.2%,24.6%,48.2%,19.6%,27.6%,48.2%,43.8%,37.8%,16.7%,19.6%,23.8%,48.1%,65.1%,23.6%,22.7%,63
