Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2008,6,3,3,50.0%,8-7,53.3%,76-63,54.7%,0-2,0.0%,0,,,,,,,,,,,,QF (Monzon 75K)
2007,18,13,5,72.2%,30-15,66.7%,240-189,55.9%,5-1,83.3%,0,,,,,,,,,,,,W (Rimini 75K)
2006,15,9,6,60.0%,21-13,61.8%,178-140,56.0%,4-1,80.0%,0,,,,,,,,,,,,SF (2x)
2005,10,5,5,50.0%,12-13,48.0%,114-115,49.8%,0-0,-,0,,,,,,,,,,,,SF (Cagnes sur Mer 75K)
2004,1,0,1,0.0%,1-2,33.3%,12-16,42.9%,0-0,-,0,,,,,,,,,,,,R32 (Prostejov 75K)
2003,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-1,0.0%,0,,,,,,,,,,,,R32 (Dubai 75K)
2002,3,2,1,66.7%,5-3,62.5%,42-34,55.3%,1-1,50.0%,0,,,,,,,,,,,,QF (Poitiers 50K)
2001,17,13,4,76.5%,28-11,71.8%,207-153,57.5%,5-0,100.0%,0,,,,,,,,,,,,W (Largo FL 50K)
2000,10,6,4,60.0%,14-8,63.6%,114-90,55.9%,0-2,0.0%,0,,,,,,,,,,,,F (Civitanova 25K)
1999,20,13,7,65.0%,24-19,55.8%,206-180,53.4%,3-0,100.0%,0,,,,,,,,,,,,SF (2x)
1998,13,9,4,69.2%,16-8,66.7%,124-100,55.4%,1-1,50.0%,0,,,,,,,,,,,,W (Welwyn 25K)
1997,16,11,5,68.8%,20-12,62.5%,156-121,56.3%,3-1,75.0%,0,,,,,,,,,,,,W (Austin TX 75K)
1996,31,22,9,71.0%,45-21,68.2%,337-237,58.7%,2-2,50.0%,0,,,,,,,,,,,,W (2x)
1995,17,10,7,58.8%,21-15,58.3%,169-153,52.5%,1-2,33.3%,0,,,,,,,,,,,,W (ITF Istanbul 2)
1994,17,9,8,52.9%,22-20,52.4%,198-185,51.7%,1-2,33.3%,0,,,,,,,,,,,,SF (ITF Foxhills)
1993,15,11,4,73.3%,23-12,65.7%,178-128,58.2%,0-1,0.0%,0,,,,,,,,,,,,W (ITF Nicolosi)
1992,10,6,4,60.0%,12-9,57.1%,92-82,52.9%,1-0,100.0%,0,,,,,,,,,,,,SF (ITF Marina Di Mas)
Career,220,142,78,64.5%,302-190,61.4%,2451-1999,55.1%,27-17,61.4%,0,,,,,,,,,,,,
