Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Hong Kong R32,W vs Wong,88% (7/8),86% (6/7),2/2,25% (2/8),0% (0/2),3/4,0/0,0/0,0/0,0/0
2023 Palermo R16,L vs Sherif,22% (2/9),50% (1/2),1/3,44% (4/9),0% (0/4),1/1,0/0,1/2,0/0,1/1
2019 W25 Leipzig R32,W vs Popovic,55% (6/11),83% (5/6),1/3,60% (6/10),50% (3/6),3/5,1/1,0/0,1/1,0/0
2019 W60 Warsaw R32,L vs Juhaszova,53% (8/15),75% (6/8),3/6,57% (8/14),13% (1/8),3/6,1/1,0/1,0/0,0/0
2019 W25 Darmstadt R16,L vs Komardina,25% (2/8),50% (1/2),0/5,75% (6/8),17% (1/6),0/1,0/0,0/0,0/0,0/0
2019 W60 Stare Splavy R32,W vs Rogowska,71% (10/14),80% (8/10),2/6,53% (8/15),13% (1/8),4/8,2/2,3/4,1/1,2/2
2019 W25 Khimki F,W vs Herdzelas,69% (9/13),67% (6/9),1/2,46% (6/13),50% (3/6),3/5,1/2,1/2,0/1,0/0
2019 W25 Khimki SF,W vs Tikhonova,63% (5/8),80% (4/5),0/0,25% (2/8),100% (2/2),4/4,2/2,0/0,1/1,0/0
2019 W25 Khimki QF,W vs Snigur,71% (10/14),60% (6/10),1/4,53% (8/15),50% (4/8),4/6,2/2,1/1,1/1,1/1
2019 W25 Khimki R32,W vs Christie,57% (8/14),63% (5/8),1/4,38% (6/16),0% (0/6),1/5,1/4,0/1,1/2,0/0
2019 W25 Andijan R16,L vs Rakhimova,50% (7/14),71% (5/7),1/4,42% (5/12),20% (1/5),3/4,0/0,1/1,0/0,0/0
2019 W25 Andijan R32,W vs Anshba,76% (13/17),92% (12/13),7/9,75% (12/16),25% (3/12),4/9,0/0,0/0,0/0,0/0
2019 W60 Istanbul R16,L vs Raina,22% (2/9),100% (2/2),0/4,63% (5/8),0% (0/5),2/2,0/0,1/2,0/0,1/1
2019 W60 Istanbul R32,W vs Hesse,75% (6/8),83% (5/6),1/2,33% (3/9),33% (1/3),3/4,1/1,0/0,1/1,0/0
2019 W25 Kazan SF,L vs Rybakina,58% (7/12),71% (5/7),2/7,64% (7/11),0% (0/7),2/4,0/1,1/1,0/0,0/0
2019 W25 Kazan R16,W vs Rosca,57% (8/14),88% (7/8),2/5,47% (7/15),14% (1/7),2/7,2/3,0/1,1/2,0/0
2019 W25 Kazan R32,W vs Rodionova,63% (5/8),100% (5/5),2/2,44% (4/9),50% (2/4),5/5,2/2,0/0,1/1,0/0
2019 W25 Kazan R32,L vs Frolova,25% (2/8),50% (1/2),1/4,63% (5/8),0% (0/5),0/1,0/0,0/1,0/0,0/0
2017 Hammamet $15K R32,L vs Benoit,13% (1/8),100% (1/1),0/5,63% (5/8),0% (0/5),0/1,0/0,1/1,0/0,0/0
2017 Casablanca $15K R32,L vs Hering,30% (3/10),100% (3/3),0/5,56% (5/9),0% (0/5),1/3,0/0,0/0,0/0,0/0
2023 (2 matches),,52.9%,77.8%,60.0%,35.3%,0.0%,80.0%,-,50.0%,-,100.0%
2019 (16 matches),,57.8%,76.9%,37.3%,52.4%,23.5%,56.6%,71.4%,53.3%,72.7%,100.0%
2017 (6 matches),,49.0%,88.0%,34.5%,61.5%,6.3%,45.5%,80.0%,66.7%,66.7%,-
Career (24 matches),,55.7%,78.9%,37.6%,53.1%,18.4%,55.3%,73.1%,55.0%,71.4%,100.0%
