Date,Tournament,Surface,Rd,,Score
06-Jul-1970,Dublin,Grass,F,Patricia Walkden [RSA] / Marty Riessen [USA] d. Wade / Bob Hewitt [RSA],1-6 8-6 6-3
27-Apr-1970,Bournemouth,Clay,F,Billie Jean King [USA] / Bob Hewitt [RSA] d. Wade / Robert Maud [RSA],6-2 3-6 6-1
01-Apr-1969,Johannesburg,Hard,F,Annette Van Zyl [RSA] / Tom Okker [NED] d. Wade / Robert Maud [RSA],8-6 5-7 6-4
30-May-1968,Berlin,Clay,F,Wade / Tom Okker [NED] d. Margaret Court [AUS] / Marty Riessen [USA],6-3 2-6 6-2
06-May-1968,Rome,Clay,F,Margaret Court [AUS] / Marty Riessen [USA] d. Wade / Tom Okker [NED],8-6 6-3
21-Mar-1968,Kampala,Clay,F,Margaret Court / Ken Fletcher [AUS] d. Wade / Allan Stone [AUS],8-6 6-4
26-Sep-1966,Berkeley,Hard,F,Judy Tegart [AUS] / Jim Mcmanus [USA] d. Wade / Terry Ryan [RSA],3-6 13-11 6-2
18-Apr-1966,Bournemouth,Clay,F,Faye Urban [CAN] / Peter Van Lingen [RSA] d. Wade / Peter Curtis [GBR],6-2 1-6 6
30-Mar-1965,Cannes International,Clay,F,Wade / Ernesto Aguirre [CHI] d. Fay Toyne / Jimmy Moore [AUS],3-6 8-6 6-1
22-Feb-1965,Zuidlaren,,F,Trish Mcclenaughan / Bob Howe [AUS] d. Wade / Roger Taylor [GBR],3-Jun
06-Jul-1964,Edgbaston,Grass,F,Judy Tegart [AUS] / Bob Hewitt [RSA] d. Wade / Ray Senkowski [USA],6-2 6-3
06-Apr-1964,Menton,Clay,F,Katarina Bartholdson [SWE] / Istvan Gulyas [HUN] d. Wade / Bob Carmichael [AUS],6-4 1-6 6-1
19-Sep-1963,Milan Bonfiglio,Clay,F,Robin Lloyd / Mark Cox [GBR] d. Wade / Stanley Matthews [GBR],7-9 6-0 6-1
