Date,Tournament,Surface,Rd,,Score
16-Nov-1970,Wembley,Carpet,F,Rosie Casals / Billie Jean King [USA] d. Wade / Ann Jones [GBR],6-3 7-5
12-Nov-1970,London,Carpet,F,Wade / Ann Jones [GBR] d. Winnie Shaw / Joyce Williams [GBR],1-6 7-6 7-6
02-Nov-1970,Torquay,Carpet,F,Wade / Ann Jones [GBR] d. Janice Townsend [GBR] / Sharon Walsh Pete [USA],6-3 6-4
27-Oct-1970,Port Talbot,Carpet,F,Wade / Ann Jones [GBR] d. Francoise Durr [FRA] / Betty Stove [NED],6-4 6-3
20-Oct-1970,Manchester,Hard,F,Wade / Ann Jones [GBR] d. Francoise Durr [FRA] / Betty Stove [NED],6-4 6-3
18-Sep-1970,Charlotte,Clay,F,Wade / Margaret Court [AUS] d. Francoise Durr [FRA] / Nancy Richey [USA],1-Oct
02-Sep-1970,US Open,Grass,F,(1) Margaret Court / Judy Tegart [AUS] d. (2) Wade / Rosie Casals [USA],6-3 6-4
24-Aug-1970,South Orange,Grass,F,Wade / Rosie Casals [USA] d. Gail Sherriff / Francoise Durr [FRA],6-3 6-4
10-Aug-1970,Hamburg,Clay,F,Karen Krantzcke / Kerry Reid [AUS] d. Wade / Winnie Shaw [GBR],6-0 6-1
06-Jul-1970,Dublin,Grass,F,Karen Krantzcke / Kerry Reid [AUS] d. Wade / Julie Heldman [USA],7-5 6-2
22-Jun-1970,Wimbledon,Grass,F,(2) Rosie Casals / Billie Jean King [USA] d. (4) Wade / Francoise Durr [FRA],6-2 6-3
15-Jun-1970,Eastbourne,Grass,F,Judy Tegart [AUS] / Ann Jones [GBR] d. Wade / Francoise Durr [FRA],4-6 6-3 6-4
12-Jun-1970,Wightman Cup,Grass,RR,Peaches Bartkowicz / Billie Jean King [USA] d. Wade / Winnie Shaw [GBR],7-5 3-6 6-2
11-May-1970,Berlin,Clay,F,(2) Wade / Judy Tegart [AUS] d. (4) Helga Schultze [GER] / Karen Krantzcke [AUS],4-6 7-5 6-0
21-Apr-1970,Rome,Clay,F,Rosie Casals / Billie Jean King [USA] d. Wade / Francoise Durr [FRA],6-2 3-6 9-7
14-Apr-1970,Monte Carlo,Clay,F,Gail Sherriff / Francoise Durr [FRA] d. Wade / Winnie Shaw [GBR],6-2 6-3
18-Nov-1969,Wembley,Carpet,F,Wade / Ann Jones [GBR] d. Rosie Casals / Billie Jean King [USA],6-2 6-4
13-Nov-1969,London,Carpet,F,Wade / Ann Jones [GBR] d. Annette Van Zyl [RSA] / Joyce Williams [GBR],7-5 3-6 6-2
03-Nov-1969,Torquay,Carpet,F,Wade / Ann Jones [GBR] d. Mary Ann Eisel / Julie Heldman [USA],6-2 4-6 6-2
28-Aug-1969,US Open,Grass,F,(2) Francoise Durr [FRA] / Darlene Hard [USA] d. (3) Wade / Margaret Court [AUS],0-6 6-3 6-4
