Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Grass,14,10,4,71.4%,3,2,1,66.7%,1971,1985,W,0,,,,,,,,,,
Roland Garros,14,Clay,33,19,14,57.6%,3,3,0,100.0%,1967,1985,QF,0,,,,,,,,,,
Wimbledon,24,Grass,90,67,23,74.4%,9,4,5,44.4%,1962,1985,W,0,,,,,,,,,,
US Open,20,Hard,68,49,19,72.1%,12,5,7,41.7%,1964,1984,W,0,,,,,,,,,,
Wightman Cup,19,Carpet,35,12,23,34.3%,1,0,1,0.0%,1965,1983,W,0,,,,,,,,,,
Fed Cup,16,,56,36,20,64.3%,1,0,1,0.0%,1967,1983,,0,,,,,,,,,,
London,15,Carpet,47,40,7,85.1%,5,4,1,80.0%,1962,1977,W,0,,,,,,,,,,
Bournemouth,13,Clay,48,39,9,81.3%,0,0,0,-,1962,1974,W,0,,,,,,,,,,
Eastbourne,12,Grass,39,28,11,71.8%,6,4,2,66.7%,1970,1985,W,0,,,,,,,,,,
Dallas,11,Carpet,36,25,11,69.4%,6,5,1,83.3%,1970,1984,W,0,,,,,,,,,,
Boston,10,Carpet,33,23,10,69.7%,10,7,3,70.0%,1979,1984,W,0,,,,,,,,,,
Rome,9,Clay,22,14,8,63.6%,1,1,0,100.0%,1967,1979,W,0,,,,,,,,,,
