Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),910,23,,,,,,,,,,,,
2025,687,48,270,1495,319,1397,207,1497,,,,,,
2024,286,181,223,1527,299,1398,179,1531,229,1400,869,45,,
2023,70,763,128,1639,199,1497,91,1648,167,1471,,,,
2022,57,813,97,1700,185,1520,71,1690,130,1524,,,,
2021,245,254,303,1408,352,1211,268,1406,,,,,,
2020,370,111,,,,,,,,,462,91,,
2019,363,104,422,1303,459,1162,345,1330,261,1307,373,116,,
2018,268,152,257,1470,317,1332,225,1461,,,508,33,,
2017,265,193,266,1455,342,1289,222,1460,,,352,157,,
2016,491,77,269,1441,323,1305,226,1437,,,1219,17,,
2015,233,222,264,1450,,,231,1440,213,1410,483,123,,
2014,244,202,236,1489,,,196,1485,,,898,36,,
2013,544,59,,,,,,,,,831,41,,
2012,1327,3,,,,,,,,,,,,
2011,1618,1,,,,,,,,,,,,
