Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Australian Open R128,L vs De Jong,26.7%,32.4%,48.6%,33.5%,33.3%,42.4%,52.3%,44.2%,30.0%,38.9%,0.0%,16.7%,16.7%,43.3%,37
2023 Gstaad F,W vs Ramos,25.0%,44.3%,55.7%,36.5%,29.3%,51.7%,56.1%,46.7%,56.7%,28.6%,40.0%,20.0%,36.0%,55.0%,65
2023 Madrid CH F,L vs Shevchenko,14.7%,25.3%,46.0%,22.0%,21.4%,33.3%,39.4%,34.5%,63.6%,70.0%,66.7%,6.3%,15.6%,53.3%,-51
2022 US Open R64,W vs Holt,29.6%,38.8%,49.0%,36.0%,37.0%,48.9%,50.0%,47.5%,50.0%,37.5%,50.0%,20.0%,25.5%,47.7%,47
2022 Verona CH F,L vs Maestrelli,17.9%,26.9%,50.0%,24.0%,22.4%,36.7%,55.3%,32.0%,53.8%,26.1%,25.0%,11.1%,11.1%,41.7%,-4
2019 Bordeaux CH R64,W vs Maamoun,21.6%,29.4%,60.0%,29.0%,21.6%,32.4%,69.0%,31.9%,66.7%,26.3%,0.0%,21.4%,21.4%,36.4%,-79
2019 Cordoba QF,L vs Londero,36.7%,50.0%,37.5%,42.9%,47.1%,66.7%,48.1%,58.0%,51.9%,29.2%,20.0%,23.7%,28.9%,27.6%,-40
2019 Cordoba R32,W vs Norrie,32.7%,46.2%,69.7%,37.7%,40.0%,56.0%,86.7%,50.4%,36.4%,57.1%,-,28.0%,40.0%,55.6%,-21
2016 Seville CH SF,L vs Ruud,25.6%,35.9%,44.8%,30.5%,42.1%,52.6%,45.5%,52.1%,60.0%,47.8%,40.0%,10.0%,20.0%,44.4%,-79
2015 Sevilla CH F,W vs Carreno Busta,18.1%,31.9%,50.8%,26.8%,19.6%,37.3%,46.3%,32.0%,57.7%,36.0%,50.0%,14.3%,19.0%,61.1%,-79
Career (10 matches),,25.4%,36.5%,50.0%,32.5%,31.6%,46.0%,52.9%,43.3%,52.2%,38.5%,36.8%,16.9%,23.3%,46.2%,3
