Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Australian Open R128,L vs De Jong,1.0%,100.0%,17.5%,71.1%,12.8%,13.5%,33.3%,6.6%,22.2%,0.3%,0.0%,-37,-26
2023 Gstaad F,W vs Ramos,4.9%,50.0%,8.7%,80.0%,20.2%,24.1%,16.7%,2.2%,0.0%,3.9%,30.8%,-32,-10
2023 Madrid CH F,L vs Shevchenko,4.1%,66.7%,10.6%,76.9%,8.0%,11.1%,11.1%,5.4%,14.3%,4.7%,45.5%,16,-11
2022 US Open R64,W vs Holt,0.0%,-,16.2%,68.0%,11.8%,7.5%,10.0%,6.5%,22.2%,0.3%,0.0%,-15,-2
2022 Verona CH F,L vs Maestrelli,0.0%,-,9.6%,60.0%,9.5%,5.7%,16.7%,5.3%,28.6%,2.2%,28.6%,-81,-66
2019 Bordeaux CH R64,W vs Maamoun,0.0%,-,14.4%,73.3%,10.1%,8.3%,0.0%,6.7%,42.9%,4.0%,22.2%,-54,-55
2019 Cordoba QF,L vs Londero,0.0%,-,5.6%,77.8%,12.7%,22.2%,0.0%,10.8%,71.4%,1.3%,0.0%,16,27
2019 Cordoba R32,W vs Norrie,2.0%,100.0%,9.5%,81.8%,14.9%,37.5%,8.3%,9.3%,33.3%,1.7%,33.3%,-51,-47
2016 Seville CH SF,L vs Ruud,2.7%,100.0%,12.9%,65.0%,16.8%,10.0%,50.0%,1.3%,0.0%,4.4%,46.2%,18,9
2015 Sevilla CH F,W vs Carreno Busta,0.0%,-,19.6%,71.4%,16.1%,20.6%,33.3%,5.7%,62.5%,3.6%,8.3%,-26,-40
Career (10 matches),,1.4%,72.7%,12.9%,71.0%,13.3%,14.9%,15.7%,5.9%,29.9%,2.3%,28.4%,-25,-20
