Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,222,110,112,49.5%,241-241,50.0%,2171-2185,49.8%,13-15,46.4%,0,,,,,,,,,,,
Clay,82,29,53,35.4%,59-111,34.7%,622-832,42.8%,5-6,45.5%,0,,,,,,,,,,,
Grass,233,124,109,53.2%,264-242,52.2%,2393-2302,51.0%,15-18,45.5%,0,,,,,,,,,,,
Carpet,148,62,86,41.9%,131-180,42.1%,1335-1510,46.9%,21-14,60.0%,0,,,,,,,,,,,
Grand Slams,85,33,52,38.8%,69-113,37.9%,733-916,44.5%,5-6,45.5%,0,,,,,,,,,,,
Premiers,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,
Finals,22,10,12,45.5%,25-28,47.2%,242-252,49.0%,1-0,100.0%,0,,,,,,,,,,,
Semi-finals,46,22,24,47.8%,46-54,46.0%,454-502,47.5%,2-3,40.0%,0,,,,,,,,,,,
Quarter-finals,79,41,38,51.9%,83-84,49.7%,759-785,49.2%,10-5,66.7%,0,,,,,,,,,,,
vs Righties,358,131,227,36.6%,299-473,38.7%,3185-3859,45.2%,23-33,41.1%,0,,,,,,,,,,,
vs Lefties,46,15,31,32.6%,35-65,35.0%,407-508,44.5%,4-1,80.0%,0,,,,,,,,,,,
vs Top 10,8,1,7,12.5%,2-15,11.8%,54-103,34.4%,0-0,-,0,,,,,,,,,,,
