Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1987,87,10,93,1690,105,1577,126,1546,60,1635,,,,
1985,,,78,1712,103,1568,,,62,1638,,,,
1984,38,,39,1805,86,1609,,,26,1738,,,,
1983,,,45,1787,69,1607,,,33,1712,,,,
1982,,,52,1770,61,1609,85,1590,29,1705,,,,
1981,,,29,1807,34,1649,61,1614,20,1728,,,,
1980,,,41,1727,50,1585,88,1568,32,1658,,,,
1979,,,72,1613,63,1506,92,1468,55,1573,,,,
1978,,,55,1668,48,1576,80,1484,43,1614,,,,
1977,,,51,1683,46,1581,87,1491,41,1635,,,,
1976,,,71,1613,57,1544,91,1468,46,1607,,,,
1975,,,84,1616,49,1576,105,1479,58,1587,,,,
1974,,,45,1717,24,1664,67,1578,38,1660,,,,
1973,,,70,1607,45,1561,73,1553,48,1612,,,,
1972,,,42,1700,32,1609,66,1558,36,1648,,,,
1971,,,51,1673,28,1597,75,1483,40,1617,,,,
1970,,,19,1883,11,1765,,,26,1714,,,,
