Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 W15 Don Benito Badajoz R16,W vs Teixido Garcia,0.93,1.28,52.5,3.1,-,58.1%,-,60.7%,66.7%,45.5%
2019 W15 Don Benito Badajoz R32,W vs Rey Garcia,1.13,1.22,62.8,2.8,-,43.5%,-,57.1%,55.8%,52.5%
2019 W25 Obidos R32,L vs Payola,0.95,0.76,67.2,6.0,0.0%,40.0%,0.0%,36.8%,42.6%,57.1%
2019 W15 Cancun R32,L vs Portillo Ramirez,0.90,0.61,45.0,2.4,0.0%,52.0%,0.0%,40.9%,39.3%,32.0%
2019 W15 Cancun R32,L vs Mikhailuk,1.01,0.66,42.0,2.0,0.0%,29.6%,4.0%,36.0%,29.6%,60.0%
2019 W15 Cancun R32,L vs Ortenzi,1.00,0.72,49.4,2.2,0.0%,21.4%,0.0%,52.0%,41.4%,52.0%
2017 Agadir $15K R32,L vs Brancaccio,0.88,0.84,59.8,14.2,0.0%,56.0%,0.0%,58.1%,34.0%,47.9%
2017 Beni Mellal $15K R32,L vs Arcidiacono,0.98,0.68,46.9,2.1,0.0%,40.6%,0.0%,50.0%,45.2%,31.0%
2017 Obidos $25K R16,L vs Mijacika,0.90,0.72,52.7,2.1,0.0%,66.7%,3.1%,46.9%,34.3%,33.3%
2017 Lisbon $15K R32,W vs Quiterio,1.19,2.06,36.0,2.0,0.0%,80.0%,4.3%,65.2%,55.6%,36.4%
2017 Don Benito Badajoz $15K QF,L vs Pellicano,0.89,0.82,44.9,3.0,0.0%,55.4%,0.0%,40.4%,47.5%,47.2%
2017 Don Benito Badajoz $15K R16,W vs Tran,1.10,1.48,50.3,2.8,0.0%,56.7%,0.0%,57.7%,55.6%,60.9%
2017 Guimaraes $15K R32,L vs Boren,0.94,0.71,53.1,2.6,3.2%,45.2%,0.0%,50.0%,43.3%,35.7%
2017 Santa Margherita Di Pula $15K R16,L vs Zeballos,1.24,0.47,37.1,2.7,0.0%,29.2%,0.0%,38.1%,26.3%,23.5%
2017 Santa Margherita Di Pula $15K R32,W vs Parrizas Diaz,1.25,1.35,53.4,2.2,0.0%,46.7%,0.0%,45.2%,57.5%,58.8%
2017 Obidos $15K R16,L vs Luque Moreno,0.93,0.73,53.0,2.3,0.0%,30.0%,0.0%,46.4%,54.3%,42.4%
2016 Melilla $10K R16,L vs Ponomar,0.85,0.54,36.3,2.2,10.7%,50.0%,0.0%,42.3%,36.0%,31.8%
2016 Santa Margherita Di Pula $10K R32,L vs Remondina,0.99,0.62,47.5,2.0,0.0%,46.2%,0.0%,47.8%,32.1%,34.6%
2016 Santa Margherita Di Pula $10K R16,L vs Giovine,0.76,0.48,31.3,2.4,4.2%,66.7%,0.0%,20.0%,25.0%,45.8%
2015 Casablanca $10K R16,L vs Grabher,0.93,0.49,33.5,2.0,0.0%,30.4%,0.0%,43.5%,30.4%,36.4%
2019 (6 matches),,1.00,0.87,55.1,2.7,0.0%,41.1%,0.6%,47.8%,46.9%,50.5%
2017 (10 matches),,1.01,0.90,49.9,2.6,0.3%,51.3%,0.6%,49.2%,45.5%,43.0%
2016 (3 matches),,0.87,0.55,38.6,2.2,5.1%,53.8%,0.0%,37.7%,30.9%,37.5%
2015 (8 matches),,0.99,0.95,61.2,2.4,0.4%,53.9%,0.9%,51.7%,46.8%,43.5%
2014 (6 matches),,0.99,0.83,59.4,3.0,0.4%,47.2%,0.0%,50.7%,45.7%,39.4%
Career (38 matches),,0.99,0.85,54.0,2.6,0.6%,49.4%,0.4%,48.5%,44.3%,43.2%
