Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,11,5,6,45.5%,13-14,48.1%,125-121,50.8%,1-2,33.3%,0,,,,,,,,,,,,QF (W35 Don Benito)
2023,14,4,10,28.6%,10-20,33.3%,111-158,41.3%,1-0,100.0%,0,,,,,,,,,,,,
2022,21,13,8,61.9%,26-18,59.1%,218-176,55.3%,0-4,0.0%,0,,,,,,,,,,,,
2021,10,6,4,60.0%,14-11,56.0%,124-115,51.9%,2-2,50.0%,0,,,,,,,,,,,,W (W15 Don Benito (Badajoz))
2020,3,1,2,33.3%,2-4,33.3%,19-34,35.8%,1-0,100.0%,0,,,,,,,,,,,,R16 (W15 Lousada)
2019,26,10,16,38.5%,25-35,41.7%,255-279,47.8%,2-3,40.0%,0,,,,,,,,,,,,QF (4x)
2018,22,9,13,40.9%,22-29,43.1%,222-249,47.1%,4-2,66.7%,0,,,,,,,,,,,,SF (Don Benito Badajoz $15K)
2017,17,6,11,35.3%,15-24,38.5%,165-195,45.8%,2-2,50.0%,0,,,,,,,,,,,,QF (Don Benito Badajoz $15K)
2016,15,3,12,20.0%,7-24,22.6%,103-159,39.3%,0-1,0.0%,0,,,,,,,,,,,,R16 (3x)
2015,35,13,22,37.1%,30-46,39.5%,372-388,48.9%,2-9,18.2%,0,,,,,,,,,,,,QF (4x)
2014,45,22,23,48.9%,53-52,50.5%,480-466,50.7%,5-4,55.6%,0,,,,,,,,,,,,SF (Casablanca 10K)
2013,30,10,20,33.3%,24-42,36.4%,268-334,44.5%,2-4,33.3%,0,,,,,,,,,,,,QF (2x)
2012,16,6,10,37.5%,11-20,35.5%,116-150,43.6%,0-0,-,0,,,,,,,,,,,,QF (Izmir 10K)
2011,3,0,3,0.0%,0-6,0.0%,13-37,26.0%,0-0,-,0,,,,,,,,,,,,R32 (3x)
2009,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Casablanca 10K)
Career,269,108,161,40.1%,252-347,42.1%,2594-2873,47.4%,22-33,40.0%,0,,,,,,,,,,,,
