Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1999 Roland Garros F,L vs Agassi,34.0%,42.8%,44.8%,37.5%,45.5%,54.5%,49.1%,51.2%,44.4%,62.5%,100.0%,18.0%,28.0%,39.0%,53
1999 Roland Garros SF,W vs Meligeni,23.7%,33.6%,45.6%,29.3%,28.9%,40.2%,43.5%,37.6%,58.8%,52.2%,75.0%,19.0%,28.6%,50.0%,53
1997 Hamburg F,W vs Mantilla,21.6%,39.2%,62.1%,31.9%,33.3%,52.4%,64.3%,51.4%,60.0%,77.3%,100.0%,6.3%,21.9%,60.0%,-79
1997 Hamburg SF,W vs Kafelnikov,36.2%,43.1%,48.6%,39.7%,38.6%,47.7%,51.9%,43.2%,63.6%,54.5%,100.0%,28.6%,28.6%,40.0%,-79
1995 Hamburg F,W vs Ivanisevic,20.3%,28.1%,74.5%,25.3%,30.8%,41.0%,66.7%,39.0%,65.0%,52.6%,-,4.8%,9.5%,85.0%,-74
1995 Hamburg SF,W vs Sampras,12.2%,28.4%,69.8%,24.6%,18.2%,40.9%,75.0%,39.1%,61.9%,65.2%,100.0%,3.6%,10.7%,63.0%,-81
1994 Wimbledon R16,L vs Becker,28.9%,39.8%,44.8%,35.5%,36.8%,51.8%,54.2%,49.0%,49.2%,43.6%,66.7%,20.7%,27.2%,35.6%,-1
1994 Hamburg F,W vs Kafelnikov,16.0%,25.2%,54.3%,22.9%,16.5%,25.9%,52.1%,26.1%,89.7%,71.7%,50.0%,17.9%,28.6%,60.9%,54
1994 Hamburg SF,W vs Sanchez,12.5%,33.9%,60.4%,23.6%,14.3%,38.1%,61.1%,29.0%,66.7%,85.2%,100.0%,7.7%,23.1%,58.3%,-39
1994 Monte Carlo F,W vs Bruguera,8.8%,18.8%,61.1%,19.9%,9.8%,21.3%,63.6%,24.4%,64.3%,87.9%,100.0%,5.6%,11.1%,52.9%,-60
1994 Monte Carlo SF,W vs Kafelnikov,21.9%,28.8%,50.0%,27.8%,25.0%,34.6%,53.8%,33.3%,85.7%,83.9%,100.0%,14.3%,14.3%,38.9%,-10
1993 Tour Finals SF,L vs Sampras,23.3%,32.6%,30.3%,26.7%,29.2%,41.7%,35.3%,35.4%,61.5%,54.5%,33.3%,15.8%,21.1%,25.0%,-79
1993 Paris F,L vs Ivanisevic,28.0%,36.0%,43.7%,33.5%,37.1%,45.2%,56.4%,46.0%,60.0%,56.3%,50.0%,13.5%,21.6%,28.1%,-39
1993 Paris SF,W vs Boetsch,24.0%,31.0%,57.4%,28.3%,39.1%,50.0%,64.3%,48.5%,65.0%,46.2%,33.3%,13.0%,17.4%,52.5%,4
1993 Roland Garros SF,L vs Bruguera,14.6%,34.1%,40.6%,25.0%,25.0%,50.0%,51.5%,44.3%,69.6%,52.4%,60.0%,2.7%,16.2%,30.6%,-89
1993 Roland Garros QF,W vs Edberg,21.8%,26.4%,64.3%,27.6%,29.5%,32.8%,67.4%,40.0%,75.0%,54.1%,100.0%,12.8%,19.1%,61.0%,-17
1992 Paris R32,L vs Edberg,26.4%,35.8%,47.1%,33.4%,34.6%,53.8%,47.1%,48.8%,83.3%,21.4%,0.0%,22.7%,22.7%,47.1%,102
Career (17 matches),,23.1%,33.5%,52.5%,29.8%,29.7%,42.3%,56.1%,40.6%,63.7%,61.0%,75.5%,14.1%,21.7%,47.2%,26
