Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2001,156,245,61,1798,60,1721,42,1807,64,1622,,,,
2000,58,680,27,1892,38,1791,13,1892,45,1682,657,40,,
1999,30,1184,42,1839,40,1788,24,1842,57,1656,276,189,,
1998,62,725,48,1838,38,1802,32,1844,48,1680,475,79,,
1997,27,1314,34,1900,27,1848,24,1905,37,1709,453,91,,
1996,35,1114,28,1910,15,1897,24,1890,48,1704,697,37,,
1995,16,,19,1927,18,1886,13,1956,37,1742,282,168,,
1994,15,,19,1945,29,1855,11,1984,25,1776,553,57,,
1993,6,,8,2057,9,1997,5,2072,18,1847,215,264,,
1992,24,,14,1992,44,1798,9,2010,,,389,75,,
1991,227,,,,,,,,,,429,61,,
1990,1007,1,,,,,,,,,,,,
