Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2001,28,11,17,39.3%,32-43,42.7%,348-386,47.4%,10-6,62.5%,25,70.7%,20.0%,5.8%,4.9%,59.0%,68.7%,45.4%,59.2%,36.6%,48.0%,0.90,QF (Dubai)
2000,40,23,17,57.5%,59-47,55.7%,523-494,51.4%,6-5,54.5%,36,73.9%,27.2%,6.5%,3.4%,57.3%,68.9%,48.5%,60.2%,40.5%,50.4%,1.02,SF (2x)
1999,49,26,23,53.1%,79-61,56.4%,675-647,51.1%,13-3,81.3%,41,73.6%,26.5%,7.9%,5.4%,55.5%,71.5%,47.1%,60.6%,40.3%,50.5%,1.02,F (Roland Garros)
1998,48,24,24,50.0%,69-63,52.3%,654-633,50.8%,10-17,37.0%,44,76.8%,26.0%,8.8%,6.0%,58.7%,73.5%,47.3%,62.7%,39.6%,50.8%,1.06,F (Bastad)
1997,57,34,23,59.6%,89-67,57.1%,784-692,53.1%,8-9,47.1%,51,76.6%,27.8%,6.6%,4.3%,57.3%,71.7%,48.8%,61.9%,40.5%,51.2%,1.07,W (Hamburg Masters)
1996,57,34,23,59.6%,90-59,60.4%,747-650,53.5%,10-8,55.6%,55,77.3%,28.4%,6.7%,4.2%,60.5%,70.6%,48.4%,61.9%,40.7%,51.3%,1.07,W (Long Island)
1995,67,41,26,61.2%,108-70,60.7%,885-789,52.9%,9-10,47.4%,63,75.8%,29.7%,7.2%,4.4%,53.2%,72.8%,47.5%,61.0%,41.3%,51.0%,1.06,W (Hamburg Masters)
1994,52,34,18,65.4%,86-55,61.0%,733-636,53.5%,11-7,61.1%,48,76.7%,30.2%,3.4%,2.1%,65.1%,67.8%,51.1%,61.9%,41.9%,51.6%,1.10,W (2x)
1993,82,58,24,70.7%,135-81,62.5%,1118-981,53.3%,20-14,58.8%,80,79.3%,26.4%,7.9%,4.3%,55.5%,74.7%,49.6%,63.5%,40.0%,51.6%,1.10,W (3x)
1992,44,32,12,72.7%,74-35,67.9%,579-458,55.8%,13-7,65.0%,43,80.4%,30.7%,6.7%,3.7%,53.6%,73.6%,52.9%,64.0%,41.5%,52.6%,1.15,W (3x)
1991,12,5,7,41.7%,13-16,44.8%,136-146,48.2%,1-3,25.0%,12,64.2%,34.3%,3.4%,4.3%,59.2%,63.1%,44.9%,55.7%,43.6%,49.4%,0.98,SF (Geneva)
1990,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,0,,,,,,,,,,,,R32 (Moscow)
Career,537,322,215,60.0%,834-599,58.2%,7189-6524,52.4%,111-89,55.5%,498,76.3%,27.8%,6.8%,4.3%,57.4%,71.5%,48.7%,61.8%,40.6%,51.1%,1.06,
