Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 s Hertogenbosch QF,L vs Galfi,17.9%,29.9%,53.8%,10.0%,22.5%,41.7%,59.1%,44.4%,0.0%,33.3%,45.8%,81.3%,0.0%,80.0%,100.0%,30
2022 Budapest F,L vs Pera,24.6%,29.8%,37.5%,37.5%,43.8%,40.0%,63.6%,66.7%,83.3%,9.1%,13.6%,35.0%,75.0%,60.0%,66.7%,-27
2021 ITF Stare Splavy F,L vs Zheng,23.2%,30.4%,42.9%,28.6%,34.3%,28.0%,60.0%,60.0%,50.0%,15.0%,25.0%,64.7%,10.0%,80.0%,-,-46
2019 Guangzhou R16,L vs Blinkova,20.0%,30.0%,32.7%,26.5%,36.7%,33.3%,38.1%,39.3%,37.5%,5.0%,15.0%,31.6%,0.0%,37.5%,100.0%,-64
2019 Palermo R16,L vs Bertens,8.6%,10.3%,38.8%,11.4%,11.4%,32.3%,18.8%,63.2%,80.0%,5.3%,10.5%,50.0%,0.0%,77.8%,100.0%,-69
2019 Wimbledon R128,L vs Muchova,17.0%,31.8%,49.3%,23.5%,39.2%,48.7%,40.7%,58.3%,100.0%,9.1%,24.2%,50.0%,0.0%,63.2%,80.0%,-25
2019 Indian Wells R128,L vs Anisimova,27.7%,33.8%,28.9%,26.2%,35.7%,29.0%,38.1%,33.3%,66.7%,33.3%,33.3%,28.6%,0.0%,27.3%,0.0%,1
2018 s Hertogenbosch F,W vs Flipkens,13.3%,19.4%,54.8%,15.9%,20.3%,56.9%,20.7%,57.5%,100.0%,7.1%,17.9%,50.0%,0.0%,58.3%,100.0%,-62
2018 Brisbane QF,L vs Sevastova,15.5%,20.7%,43.8%,22.9%,28.6%,44.4%,41.2%,33.3%,25.0%,4.5%,9.1%,42.9%,0.0%,90.0%,100.0%,-69
2018 Brisbane R32,W vs Witthoeft,16.2%,31.1%,61.7%,15.4%,28.8%,65.9%,42.1%,63.6%,66.7%,20.0%,40.0%,50.0%,8.3%,62.5%,100.0%,6
2017 Guangzhou F,L vs Zhang,10.5%,18.6%,42.7%,7.8%,19.6%,40.4%,39.1%,50.0%,40.0%,15.2%,18.2%,46.4%,0.0%,87.5%,100.0%,-35
2017 Bastad QF,L vs Mertens,13.8%,21.3%,46.4%,16.7%,25.9%,53.3%,50.0%,60.7%,50.0%,7.7%,11.5%,33.3%,16.7%,85.7%,100.0%,-104
2017 Fed Cup RR,L vs Barty,17.2%,29.3%,36.2%,17.1%,34.1%,38.2%,33.3%,69.6%,100.0%,18.8%,18.8%,30.8%,0.0%,83.3%,0.0%,-33
2015 Linz R32,L vs Vinci,30.2%,44.8%,49.2%,37.7%,49.2%,44.7%,42.3%,65.7%,50.0%,19.4%,41.9%,56.0%,35.7%,58.8%,50.0%,-31
2015 Stanford R32,L vs Keys,30.2%,32.6%,25.0%,29.2%,33.3%,35.3%,50.0%,50.0%,50.0%,35.3%,35.3%,9.1%,18.2%,33.3%,50.0%,23
2015 Birmingham R64,W vs Watson,33.8%,41.9%,55.1%,43.6%,56.4%,59.1%,66.7%,23.8%,100.0%,22.9%,25.7%,51.9%,35.7%,28.6%,0.0%,-104
2015 Shenzhen QF,L vs Halep,16.0%,34.0%,46.3%,22.2%,51.9%,47.6%,43.8%,27.3%,0.0%,9.1%,13.6%,45.0%,14.3%,46.7%,40.0%,-51
2014 Bucharest R16,L vs Halep,6.5%,8.7%,40.5%,10.0%,13.3%,33.3%,53.3%,26.7%,50.0%,0.0%,0.0%,53.3%,0.0%,25.0%,0.0%,-119
Career (18 matches),,19.0%,28.1%,45.0%,22.0%,32.2%,44.3%,43.1%,52.0%,61.1%,15.1%,22.9%,46.1%,12.4%,60.5%,68.2%,-22
