Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,20,8,12,40.0%,19-23,45.2%,195-198,49.6%,1-3,25.0%,1,0.0%,0.0%,6.3%,0.0%,75.0%,33.3%,50.0%,37.5%,37.5%,37.5%,0.60,QF (2x)
2023,49,31,18,63.3%,68-43,61.3%,570-465,55.1%,10-4,71.4%,1,50.0%,0.0%,1.9%,7.7%,53.8%,64.3%,33.3%,50.0%,25.0%,38.5%,0.50,W (W25 Orlando FL)
2022,30,15,15,50.0%,33-30,52.4%,303-294,50.8%,2-4,33.3%,2,45.0%,22.2%,6.0%,5.1%,57.3%,50.7%,44.0%,47.9%,39.2%,43.3%,0.75,SF (W25 Nottingham)
2021,21,13,8,61.9%,29-17,63.0%,237-195,54.9%,3-2,60.0%,0,,,,,,,,,,,,F (2x)
2020,10,4,6,40.0%,9-12,42.9%,108-110,49.5%,2-2,50.0%,0,,,,,,,,,,,,QF (W25 Launceston)
2019,14,3,11,21.4%,9-21,30.0%,116-155,42.8%,1-1,50.0%,5,67.9%,18.5%,7.7%,7.7%,50.3%,70.7%,43.4%,57.1%,35.9%,46.8%,0.84,R16 (2x)
2018,21,12,9,57.1%,27-22,55.1%,245-214,53.4%,1-5,16.7%,3,60.0%,46.7%,6.1%,8.4%,52.8%,63.7%,42.6%,53.7%,47.2%,50.8%,1.02,F (Rome $25K)
2017,17,6,11,35.3%,15-21,41.7%,155-185,45.6%,3-2,60.0%,3,52.4%,33.3%,7.9%,8.7%,48.0%,62.3%,36.4%,48.8%,43.8%,46.3%,0.85,QF (Dothan AL $60K)
2016,28,15,13,53.6%,32-28,53.3%,293-275,51.6%,4-3,57.1%,1,58.3%,33.3%,1.3%,5.3%,50.0%,60.5%,52.6%,56.6%,44.0%,50.0%,1.01,SF (2x)
2015,23,15,8,65.2%,33-21,61.1%,271-229,54.2%,2-0,100.0%,0,,,,,,,,,,,,W (Galati $10K)
2014,5,3,2,60.0%,6-4,60.0%,43-39,52.4%,0-0,-,0,,,,,,,,,,,,SF (Amstelveen 10K)
Career,238,125,113,52.5%,280-242,53.6%,2536-2359,51.8%,29-26,52.7%,16,58.4%,27.0%,6.3%,7.3%,52.0%,63.4%,42.6%,53.4%,39.9%,46.8%,0.86,
