Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,17,8,9,47.1%,14,6,8,42.9%,2012,2023,R32,15,0.95,11.1%,4.5%,59.7%,75.2%,52.9%,66.2%,32.0%,66.9%,43.9%
Roland Garros,7,Clay,10,3,7,30.0%,5,2,3,40.0%,2012,2020,R128,10,0.85,8.2%,4.3%,58.2%,67.1%,47.9%,59.1%,34.7%,57.3%,42.1%
Wimbledon,12,Grass,19,7,12,36.8%,10,5,5,50.0%,2011,2023,QF,17,0.93,13.9%,3.4%,61.1%,79.8%,48.4%,67.6%,30.1%,57.0%,27.9%
US Open,13,Hard,26,13,13,50.0%,19,10,9,52.6%,2011,2023,R16,26,0.94,12.3%,5.4%,55.3%,76.2%,48.7%,63.9%,34.1%,66.7%,41.6%
Olympics,2,,2,0,2,0.0%,0,0,0,-,2012,2016,R64,2,0.61,5.7%,7.3%,53.7%,69.7%,29.8%,51.2%,29.6%,43.8%,50.0%
Davis Cup,14,,29,15,14,51.7%,20,14,6,70.0%,2008,2024,,13,1.00,14.0%,4.1%,60.5%,77.3%,49.1%,66.2%,33.9%,60.5%,32.9%
Canada Masters,16,Hard,24,8,16,33.3%,11,7,4,63.6%,2009,2025,SF,23,0.86,10.6%,5.1%,55.5%,74.9%,46.7%,62.4%,32.3%,55.9%,38.3%
Dubai,4,Hard,5,1,4,20.0%,1,0,1,0.0%,2015,2024,R16,5,0.87,8.8%,3.7%,56.2%,74.4%,54.2%,65.5%,29.9%,59.4%,28.6%
Miami Masters,6,Hard,10,4,6,40.0%,10,7,3,70.0%,2014,2022,R32,10,0.84,7.9%,6.4%,57.2%,75.2%,50.7%,64.7%,29.5%,63.9%,30.6%
Indian Wells Masters,9,Hard,23,14,9,60.9%,10,5,5,50.0%,2012,2022,R32,23,1.01,8.0%,4.5%,55.0%,72.7%,48.8%,62.0%,38.3%,58.7%,38.0%
Sofia,2,Hard,6,4,2,66.7%,4,1,3,25.0%,2020,2021,F,6,1.30,13.7%,3.5%,60.2%,82.4%,53.6%,71.0%,37.9%,76.7%,39.1%
Metz,2,Hard,4,2,2,50.0%,1,0,1,0.0%,2015,2021,R16,4,1.10,12.7%,3.3%,59.2%,73.8%,62.0%,69.0%,34.2%,73.7%,40.0%
