Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Australian Open R128,L vs Auger Aliassime,35.4%,49.0%,46.0%,43.6%,40.0%,57.9%,49.1%,52.7%,44.2%,53.8%,14.3%,31.8%,38.6%,40.0%,154
2022 Mouilleron CH F,L vs Sels,30.4%,44.6%,44.7%,35.9%,45.5%,60.6%,44.4%,54.8%,43.8%,58.8%,50.0%,9.1%,22.7%,45.0%,-22
2021 Australian Open R128,L vs Medvedev,26.9%,44.9%,42.6%,34.6%,40.0%,66.7%,51.9%,53.3%,52.4%,58.3%,75.0%,10.0%,16.7%,33.3%,-18
2020 Sofia F,L vs Sinner,35.7%,43.9%,55.0%,42.9%,48.4%,61.3%,59.4%,59.7%,42.9%,44.1%,50.0%,15.2%,15.2%,50.0%,35
2020 St Petersburg R32,L vs Rublev,34.4%,40.6%,28.9%,36.1%,47.4%,50.0%,30.0%,50.3%,35.3%,38.1%,25.0%,18.2%,31.8%,27.8%,51
2020 US Open R16,L vs De Minaur,25.5%,37.3%,44.7%,33.2%,34.8%,51.5%,58.1%,47.7%,41.9%,42.9%,25.0%,13.2%,18.4%,27.3%,10
2020 US Open R64,W vs Raonic,42.4%,56.1%,60.6%,50.0%,53.3%,68.9%,59.5%,64.4%,33.3%,58.8%,50.0%,21.6%,32.4%,62.1%,91
2020 Montpellier F,L vs Monfils,25.0%,39.3%,56.4%,38.6%,32.4%,54.1%,76.0%,53.0%,56.3%,38.1%,0.0%,12.5%,12.5%,21.4%,-2
2020 Australian Open R128,L vs Karlovic,39.8%,58.2%,58.3%,47.2%,51.9%,72.2%,61.5%,65.4%,24.0%,58.6%,100.0%,33.3%,54.5%,54.5%,154
2019 Davis Cup Finals RR,W vs Opelka,48.2%,59.0%,51.2%,56.5%,58.9%,75.0%,56.5%,71.3%,55.0%,50.0%,0.0%,28.0%,28.0%,44.4%,33
2017 San Francisco CH SF,W vs Mmoh,46.7%,60.0%,56.5%,54.9%,57.7%,76.9%,72.7%,71.9%,60.0%,50.0%,0.0%,33.3%,38.9%,41.7%,1
2017 San Francisco CH QF,W vs Tiafoe,51.1%,57.8%,59.1%,54.7%,62.1%,69.0%,54.5%,67.6%,60.0%,57.1%,-,31.3%,37.5%,63.6%,-79
2017 Doha R32,L vs Verdasco,30.9%,38.2%,27.0%,34.5%,46.7%,60.0%,31.3%,53.3%,35.7%,43.8%,0.0%,12.5%,12.5%,23.8%,-19
2015 Valencia SF,L vs Sousa,32.8%,48.3%,47.4%,38.3%,43.8%,56.3%,50.0%,53.8%,38.5%,47.4%,0.0%,20.0%,40.0%,45.0%,-21
2015 Washington R32,W vs Young,44.1%,61.0%,62.5%,50.8%,59.4%,84.4%,69.2%,71.9%,46.2%,47.4%,-,26.9%,34.6%,57.9%,-23
2015 Miami R64,W vs Del Potro,39.4%,52.1%,66.7%,42.3%,58.3%,69.4%,73.3%,63.9%,35.7%,54.5%,100.0%,25.0%,42.9%,61.9%,102
2015 Rotterdam R32,W vs Kohlschreiber,34.7%,49.0%,66.7%,38.8%,45.8%,62.5%,53.8%,54.2%,36.4%,46.2%,100.0%,26.1%,39.1%,76.5%,-16
2014 Paris R64,L vs Robredo,29.3%,56.1%,70.4%,40.5%,40.0%,75.6%,77.8%,60.4%,34.8%,27.3%,50.0%,18.2%,36.4%,63.0%,60
2014 Washington F,L vs Raonic,30.9%,36.4%,36.1%,34.7%,44.1%,52.9%,47.4%,50.3%,37.5%,61.1%,50.0%,10.5%,10.5%,23.5%,-13
2014 Washington SF,W vs Gasquet,28.7%,42.6%,58.1%,34.6%,38.6%,52.6%,57.1%,49.8%,35.7%,58.6%,50.0%,18.8%,33.3%,59.0%,10
Career (24 matches),,35.8%,49.2%,51.9%,42.5%,47.6%,64.6%,57.6%,59.0%,41.4%,50.8%,37.5%,21.1%,30.4%,45.8%,58
