Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,149,92,57,61.7%,207-133,60.9%,1737-1420,55.0%,19-18,51.4%,73,-,-,4.3%,4.9%,64.2%,64.6%,45.9%,57.9%,46.7%,52.4%,1.11
Clay,33,19,14,57.6%,43-30,58.9%,384-300,56.1%,1-5,16.7%,15,-,-,2.6%,5.3%,62.0%,66.2%,45.1%,58.2%,50.0%,54.1%,1.20
Grass,19,13,6,68.4%,29-16,64.4%,230-200,53.5%,2-0,100.0%,11,-,-,3.8%,5.6%,65.0%,63.7%,45.3%,57.3%,42.6%,50.0%,1.00
Carpet,19,13,6,68.4%,27-14,65.9%,207-178,53.8%,3-2,60.0%,8,-,-,2.5%,4.7%,59.3%,60.9%,42.6%,53.4%,47.1%,50.3%,1.01
Grand Slams,39,22,17,56.4%,51-40,56.0%,462-405,53.3%,4-6,40.0%,33,-,-,3.5%,6.3%,62.3%,64.1%,44.6%,56.8%,45.1%,51.0%,1.04
Premiers,132,81,51,61.4%,178-116,60.5%,1489-1232,54.7%,18-16,52.9%,64,-,-,4.0%,4.0%,64.9%,64.0%,46.5%,57.8%,47.9%,52.9%,1.13
Internationals,39,27,12,69.2%,61-30,67.0%,479-369,56.5%,2-2,50.0%,10,-,-,4.7%,6.9%,61.0%,68.1%,42.8%,58.2%,45.0%,51.6%,1.08
Finals,7,2,5,28.6%,6-10,37.5%,67-79,45.9%,0-2,0.0%,5,-,-,5.3%,4.0%,66.8%,60.1%,46.8%,55.7%,42.6%,49.2%,0.96
Semi-finals,18,7,11,38.9%,21-24,46.7%,218-229,48.8%,3-3,50.0%,9,-,-,3.7%,4.2%,65.7%,63.2%,41.3%,55.7%,45.1%,50.5%,1.02
Quarter-finals,27,18,9,66.7%,36-22,62.1%,295-258,53.3%,4-3,57.1%,13,-,-,2.6%,3.7%,64.1%,64.6%,43.8%,57.2%,45.4%,51.3%,1.06
vs Righties,205,125,80,61.0%,281-183,60.6%,2363-1961,54.6%,24-22,52.2%,104,-,-,3.9%,5.0%,63.6%,64.2%,45.4%,57.4%,46.7%,52.1%,1.10
vs Lefties,14,11,3,78.6%,23-10,69.7%,183-130,58.5%,1-3,25.0%,3,-,-,2.4%,4.8%,64.5%,68.5%,46.1%,60.6%,45.3%,53.4%,1.15
vs Top 10,36,13,23,36.1%,38-49,43.7%,394-431,47.8%,6-7,46.2%,24,-,-,3.2%,3.8%,65.7%,59.7%,42.8%,53.9%,44.1%,49.1%,0.96
