Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2017 Auckland R32,W vs Khachanov,58.7%,45.3%,1.8%,2/0,2.63,5.6%,45.9%,39.3%,3.3%,2.65,10.3%,80.0%,50.0%,0.0%,2.59,0.0%
2015 Beijing R16,W vs Troicki,67.7%,56.8%,1.5%,1/0,2.74,18.6%,60.0%,50.0%,0.0%,2.63,28.6%,83.3%,65.0%,4.2%,2.97,0.0%
2015 Delray Beach QF,L vs Mannarino,68.5%,46.0%,2.7%,2/0,2.53,1.9%,52.3%,47.8%,0.0%,2.46,3.6%,100.0%,44.4%,7.4%,2.60,0.0%
2015 Australian Open R128,L vs Federer,65.1%,27.8%,7.2%,3/3,2.04,34.6%,57.1%,25.0%,5.4%,1.98,22.7%,95.7%,31.8%,13.0%,2.11,48.6%
2014 Dusseldorf R32,L vs Brown,68.1%,49.0%,11.1%,8/0,2.35,20.0%,67.3%,45.5%,10.2%,2.42,26.1%,76.2%,56.3%,14.3%,2.11,0.0%
2014 Auckland SF,W vs Ferrer,72.0%,51.9%,0.0%,0/0,2.17,7.1%,66.7%,50.0%,0.0%,2.24,11.1%,85.7%,55.6%,0.0%,2.03,0.0%
Career (6 matches),,66.0%,45.7%,4.0%,84.2%,2.39,16.0%,57.9%,42.6%,3.3%,2.38,17.9%,86.3%,49.6%,5.6%,2.40,13.1%
