Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2017 Auckland R32,W vs Khachanov,35.3%,47.1%,56.9%,42.0%,44.4%,58.3%,67.5%,55.6%,40.0%,51.4%,0.0%,23.8%,33.3%,43.8%,82
2015 Beijing R16,W vs Troicki,26.2%,29.5%,67.4%,33.8%,30.0%,35.0%,71.4%,41.5%,61.9%,36.8%,0.0%,21.1%,21.1%,60.0%,65
2015 Delray Beach QF,L vs Mannarino,21.4%,27.1%,42.3%,24.6%,26.3%,31.6%,39.3%,32.1%,27.8%,35.0%,40.0%,17.2%,24.1%,45.8%,54
2015 Australian Open R128,L vs Federer,14.4%,26.8%,53.1%,20.4%,21.4%,35.7%,52.3%,31.8%,46.2%,43.3%,33.3%,5.1%,15.4%,54.1%,-64
2014 Dusseldorf R32,L vs Brown,22.4%,32.9%,43.3%,28.4%,20.7%,36.2%,47.8%,29.5%,23.3%,32.1%,28.6%,33.3%,33.3%,28.6%,167
2014 Auckland SF,W vs Ferrer,29.7%,33.8%,56.8%,33.4%,35.6%,42.2%,69.0%,41.6%,33.3%,33.3%,50.0%,28.6%,28.6%,33.3%,126
Career (6 matches),,25.3%,34.0%,52.8%,30.9%,30.4%,41.4%,57.2%,39.6%,38.5%,39.8%,29.2%,19.9%,25.7%,46.0%,74
