Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2003,29,10,19,34.5%,25-42,37.3%,318-373,46.0%,7-3,70.0%,27,74.8%,17.6%,6.2%,3.7%,56.4%,70.8%,47.7%,60.8%,35.0%,48.1%,0.89,QF (3x)
2002,31,12,19,38.7%,30-42,41.7%,326-367,47.0%,5-6,45.5%,31,73.5%,21.0%,8.2%,2.4%,60.4%,68.3%,49.6%,60.9%,36.1%,48.9%,0.92,F (Tokyo)
2001,47,25,22,53.2%,64-55,53.8%,569-578,49.6%,13-9,59.1%,42,73.1%,27.1%,7.1%,2.8%,60.0%,68.7%,48.6%,60.7%,40.1%,50.3%,1.02,F (2x)
2000,94,69,25,73.4%,165-75,68.8%,1288-1032,55.5%,21-14,60.0%,86,81.9%,28.6%,8.3%,2.8%,62.7%,72.7%,52.3%,65.1%,40.9%,52.6%,1.17,W (5x)
1999,66,44,22,66.7%,103-61,62.8%,871-692,55.7%,10-13,43.5%,63,80.0%,31.7%,6.3%,3.4%,58.3%,73.1%,51.1%,63.9%,41.5%,52.4%,1.15,W (5x)
1998,59,28,31,47.5%,68-84,44.7%,716-782,47.8%,14-14,50.0%,54,73.7%,21.6%,8.2%,4.3%,52.0%,71.7%,48.8%,60.8%,36.7%,48.9%,0.93,W (Amsterdam)
1997,66,41,25,62.1%,97-72,57.4%,855-809,51.4%,14-11,56.0%,64,79.7%,23.2%,10.3%,3.8%,53.3%,74.0%,49.6%,62.6%,38.2%,50.6%,1.02,W (Bastad)
1996,25,14,11,56.0%,35-30,53.8%,324-313,50.9%,7-5,58.3%,25,76.4%,23.8%,8.0%,2.6%,59.7%,71.5%,50.7%,63.1%,37.6%,50.8%,1.02,SF (2x)
1995,5,3,2,60.0%,6-4,60.0%,49-43,53.3%,0-0,-,5,65.2%,41.3%,3.6%,1.8%,58.3%,66.7%,42.2%,56.5%,44.9%,50.6%,1.03,QF (Bastad)
1992,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,42.9%,0.0%,4.7%,11.6%,46.5%,50.0%,43.5%,46.5%,27.3%,36.8%,0.51,R64 (Stockholm Masters)
Career,423,246,177,58.2%,593-467,55.9%,5319-5001,51.5%,91-75,54.8%,398,77.5%,25.5%,8.0%,3.3%,57.8%,71.8%,50.0%,62.6%,39.0%,50.8%,1.04,
