Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,5,1,4,20.0%,4-8,33.3%,45-59,43.3%,0-0,-,0,,,,,,,,,,,,R16 (W15 Osaka)
2022,13,5,8,38.5%,10-15,40.0%,98-117,45.6%,0-0,-,0,,,,,,,,,,,,QF (W25 Goyang)
2021,7,2,5,28.6%,5-10,33.3%,48-73,39.7%,0-1,0.0%,1,14.3%,14.3%,1.6%,3.2%,61.3%,36.8%,41.7%,38.7%,29.3%,35.0%,0.48,QF (W15 Monastir)
2019,15,7,8,46.7%,16-20,44.4%,156-167,48.3%,1-0,100.0%,0,,,,,,,,,,,,W (W15 Yeongwol)
2018,18,9,9,50.0%,21-22,48.8%,189-195,49.2%,1-2,33.3%,0,,,,,,,,,,,,SF (Goyang $25K)
2017,29,19,10,65.5%,43-23,65.2%,336-245,57.8%,1-2,33.3%,0,,,,,,,,,,,,W (Nonthaburi $15K)
2016,37,20,17,54.1%,46-37,55.4%,394-324,54.9%,2-4,33.3%,0,,,,,,,,,,,,F (2x)
2015,44,26,18,59.1%,60-45,57.1%,493-449,52.3%,8-0,100.0%,0,,,,,,,,,,,,SF (6x)
2014,38,26,12,68.4%,53-29,64.6%,412-333,55.3%,5-1,83.3%,0,,,,,,,,,,,,W (Yeongwol 10K)
2013,27,13,14,48.1%,28-32,46.7%,265-281,48.5%,2-4,33.3%,0,,,,,,,,,,,,QF (4x)
2012,14,4,10,28.6%,12-21,36.4%,134-166,44.7%,0-3,0.0%,0,,,,,,,,,,,,R16 (4x)
2011,7,1,6,14.3%,2-12,14.3%,52-82,38.8%,0-0,-,0,,,,,,,,,,,,R16 (Pattaya 10K)
2010,4,0,4,0.0%,0-8,0.0%,14-48,22.6%,0-0,-,0,,,,,,,,,,,,R32 (4x)
2009,2,0,2,0.0%,1-4,20.0%,19-27,41.3%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,260,133,127,51.2%,301-286,51.3%,2655-2566,50.9%,20-17,54.1%,1,14.3%,14.3%,1.6%,3.2%,61.3%,36.8%,41.7%,38.7%,29.3%,35.0%,0.48,
