Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-11-06),1086,12,,,,,,,,,301,275,,
2022,628,50,,,,,,,,,,,,
2021,815,34,,,,,,,,,,,,
2020,790,27,,,,,,,,,181,484,,
2019,762,27,,,,,,,,,163,484,,
2018,461,56,,,,,,,,,130,531,,
2017,537,51,,,,,,,,,258,268,,
2016,450,73,,,,,,,,,375,138,,
2015,403,82,,,,,,,,,253,247,,
2014,495,52,,,,,,,,,485,78,,
2013,623,45,,,,,,,,,734,41,,
2012,856,16,,,,,,,,,776,30,,
2011,1202,3,,,,,,,,,849,24,,
