Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,6,3,3,50.0%,7-7,50.0%,56-58,49.1%,0-0,-,2,60.0%,31.3%,2.0%,2.9%,72.5%,59.5%,39.3%,53.9%,38.0%,46.4%,0.83,R16 (3x)
2020,10,6,4,60.0%,14-10,58.3%,127-101,55.7%,1-1,50.0%,3,56.3%,67.7%,1.3%,3.1%,66.2%,57.0%,45.5%,53.1%,56.3%,54.6%,1.20,QF (W100 Cairo)
2019,9,4,5,44.4%,11-11,50.0%,101-100,50.2%,1-0,100.0%,5,56.4%,33.3%,1.7%,4.3%,64.1%,61.0%,35.2%,51.7%,42.7%,47.2%,0.88,SF (W25 RibaRoja de Turia)
2016,9,7,2,77.8%,15-6,71.4%,110-77,58.8%,2-1,66.7%,0,,,,,,,,,,,,F (Osprey FL $50K)
2014,17,10,7,58.8%,22-18,55.0%,188-158,54.3%,1-1,50.0%,1,-,-,3.2%,3.2%,59.7%,59.5%,36.0%,50.0%,43.2%,46.0%,0.86,W (Bogota 100K)
2013,16,12,4,75.0%,25-11,69.4%,187-138,57.5%,1-1,50.0%,0,,,,,,,,,,,,W (Cali)
2012,12,6,6,50.0%,15-13,53.6%,132-134,49.6%,2-0,100.0%,0,,,,,,,,,,,,QF (3x)
2011,47,31,16,66.0%,66-37,64.1%,511-386,57.0%,2-2,50.0%,0,,,,,,,,,,,,W (2x)
2010,45,36,9,80.0%,76-25,75.2%,553-358,60.7%,7-4,63.6%,0,,,,,,,,,,,,W (5x)
2009,42,29,13,69.0%,60-34,63.8%,477-381,55.6%,3-3,50.0%,0,,,,,,,,,,,,W (3x)
2008,23,14,9,60.9%,29-21,58.0%,237-205,53.6%,1-1,50.0%,0,,,,,,,,,,,,W (Oviedo 10K)
2007,3,1,2,33.3%,2-4,33.3%,30-28,51.7%,0-0,-,0,,,,,,,,,,,,R16 (Vallduxo 10K)
Career,239,159,80,66.5%,342-197,63.5%,2709-2124,56.1%,21-14,60.0%,11,56.9%,43.6%,1.8%,3.6%,65.5%,59.4%,38.8%,52.3%,45.9%,49.1%,0.96,
