Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,15,5,10,33.3%,5,0,5,0.0%,2012,2022,R64,13,0.98,2.1%,3.5%,60.0%,62.2%,45.3%,55.4%,43.9%,62.6%,50.5%
Roland Garros,9,Clay,16,7,9,43.8%,6,4,2,66.7%,2011,2021,R64,11,0.93,2.0%,2.4%,61.9%,62.5%,41.5%,54.5%,42.5%,55.4%,45.5%
Wimbledon,8,Grass,13,5,8,38.5%,4,1,3,25.0%,2011,2021,R64,9,0.91,2.2%,4.8%,59.5%,64.6%,39.5%,54.4%,41.3%,34.4%,41.9%
US Open,10,Hard,19,9,10,47.4%,5,4,1,80.0%,2011,2021,R64,13,0.93,3.7%,4.6%,57.8%,60.9%,47.5%,55.2%,41.7%,51.0%,46.0%
Fed Cup,3,,6,2,4,33.3%,1,0,1,0.0%,2015,2018,,4,0.81,0.7%,3.6%,63.8%,56.2%,45.5%,52.3%,38.5%,48.6%,34.4%
Luxembourg,3,Hard,4,1,3,25.0%,1,1,0,100.0%,2012,2021,R32,2,0.68,0.8%,5.3%,52.7%,53.6%,27.4%,41.2%,39.8%,38.1%,54.5%
Palermo,4,Clay,9,4,5,44.4%,2,1,1,50.0%,2011,2021,R16,5,0.96,1.2%,3.4%,63.4%,62.6%,41.2%,54.8%,43.2%,59.1%,40.0%
Budapest,3,Clay,3,0,3,0.0%,1,0,1,0.0%,2013,2021,R32,3,0.72,2.4%,3.8%,58.1%,50.8%,39.8%,46.2%,39.0%,54.1%,38.9%
Bastad,7,Clay,15,8,7,53.3%,2,2,0,100.0%,2011,2021,SF,13,1.03,1.5%,4.0%,66.7%,58.4%,44.1%,53.6%,47.8%,49.5%,52.3%
Istanbul,2,Clay,6,4,2,66.7%,0,0,0,-,2019,2021,QF,6,1.01,0.3%,2.9%,73.6%,55.5%,45.5%,52.9%,47.7%,56.6%,50.0%
Bogota,8,Clay,36,29,7,80.6%,6,5,1,83.3%,2012,2021,W,28,1.29,1.9%,3.7%,67.9%,66.7%,49.9%,61.3%,49.8%,55.1%,46.3%
