Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Bucharest R32,W vs Xu,64% (14/22),75% (9/12),3/3,1/1,67% (12/18),2/4,0/0,50% (4/8),38% (3/8)
2019 Madrid R64,L vs Sorribes Tormo,43% (6/14),50% (5/10),1/4,0/0,53% (8/15),1/3,1/2,- (0/0),- (0/0)
2019 Rabat R16,L vs Hsieh,64% (9/14),33% (5/15),1/2,0/0,14% (1/7),0/2,0/1,- (0/0),- (0/0)
2019 Rabat R32,W vs Zvonareva,53% (9/17),36% (4/11),2/4,1/2,63% (5/8),3/3,0/0,56% (5/9),56% (5/9)
2019 Istanbul QF,L vs Vondrousova,100% (2/2),100% (1/1),0/0,0/0,40% (4/10),1/3,0/1,- (0/0),- (0/0)
2019 Istanbul R16,W vs Peterson,75% (6/8),43% (6/14),2/4,1/3,80% (8/10),0/0,0/0,- (0/0),- (0/0)
2019 Istanbul R32,W vs Suarez Navarro,60% (9/15),67% (4/6),2/3,1/2,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2019 Bogota SF,L vs Sharma,50% (5/10),100% (1/1),0/2,0/0,20% (1/5),1/3,1/2,- (0/0),- (0/0)
2019 Bogota QF,W vs Zidansek,50% (8/16),40% (4/10),2/7,1/6,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2019 Bogota R16,W vs Paolini,47% (7/15),38% (5/13),2/2,1/1,0% (0/3),0/0,0/0,100% (6/6),20% (1/5)
2019 Bogota R32,W vs Babos,65% (11/17),58% (7/12),2/3,1/1,56% (5/9),2/3,0/0,38% (3/8),50% (4/8)
2019 Monterrey R32,L vs Arn,75% (12/16),40% (4/10),1/2,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2019 Miami Q1,L vs Niculescu,43% (6/14),44% (4/9),1/3,0/0,50% (6/12),2/4,1/2,- (0/0),- (0/0)
2019 Guadalajara R32,L vs Bouzkova,57% (4/7),100% (4/4),0/0,0/0,63% (10/16),2/4,0/1,- (0/0),- (0/0)
2019 Indian Wells Q1,L vs Swiatek,39% (7/18),29% (2/7),1/1,0/0,50% (6/12),3/5,1/2,86% (6/7),29% (2/7)
2019 Dubai R64,L vs Cibulkova,100% (6/6),29% (4/14),1/1,0/0,50% (7/14),6/8,1/2,- (0/0),- (0/0)
2019 Dubai Q2,W vs Dabrowski,64% (7/11),50% (5/10),2/2,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2019 Dubai Q1,W vs Mrdeza,50% (7/14),50% (5/10),2/4,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2019 Doha R32,L vs Tsurenko,50% (2/4),17% (1/6),0/0,0/0,54% (7/13),0/2,0/1,- (0/0),- (0/0)
2019 Doha Q2,L vs Samsonova,67% (6/9),0% (0/6),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2019 (23 matches),,56.4%,43.4%,50.9%,50.0%,53.3%,50.8%,39.1%,63.2%,40.5%
2018 (44 matches),,57.9%,40.7%,49.4%,51.5%,54.1%,45.4%,52.6%,51.0%,53.2%
2017 (44 matches),,55.6%,45.4%,47.7%,61.3%,52.1%,44.1%,44.4%,52.6%,50.0%
2016 (43 matches),,51.2%,48.2%,53.5%,52.1%,55.9%,47.2%,37.9%,52.7%,48.4%
2015 (24 matches),,55.6%,43.3%,46.7%,35.7%,52.0%,63.0%,69.6%,54.1%,41.9%
Career (249 matches),,54.2%,46.0%,52.1%,52.5%,53.0%,47.9%,48.9%,55.3%,47.9%
