Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-10-10),1062,12,,,,,,,,,,,,
2021,,,185,1522,187,1478,171,1486,145,1468,,,,
2020,165,438,139,1560,139,1513,125,1521,,,83,1140,,
2019,155,386,174,1571,192,1496,140,1556,,,53,1485,,
2018,82,731,130,1639,140,1576,105,1595,103,1544,39,1830,,
2018,82,731,130,1639,140,1576,105,1595,103,1544,39,1830,,
2017,84,750,90,1721,100,1646,69,1671,73,1608,78,902,,
2016,66,923,70,1750,76,1686,67,1677,98,1559,59,1370,,
2015,86,718,102,1703,115,1613,55,1694,119,1524,31,2315,,
2014,88,633,112,1670,123,1587,73,1661,,,64,1177,,
2013,102,641,105,1680,100,1641,92,1625,109,1528,108,720,,
2012,79,805,106,1694,113,1625,105,1618,101,1554,211,310,,
2011,170,379,243,1417,250,1353,222,1394,200,1358,185,388,,
2010,330,137,,,,,,,,,307,198,,
2009,438,77,,,,,,,,,,,,
2008,724,16,,,,,,,,,,,,
