Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1999,13,3,10,23.1%,6-21,22.2%,78-142,35.5%,0-0,-,0,,,,,,,,,,,,R16 (Prostejov)
1998,26,10,16,38.5%,22-34,39.3%,223-270,45.2%,2-2,50.0%,0,,,,,,,,,,,,SF (Istanbul)
1997,16,7,9,43.8%,16-21,43.2%,155-177,46.7%,2-0,100.0%,0,,,,,,,,,,,,R16 (4x)
1996,10,2,8,20.0%,3-17,15.0%,65-109,37.4%,2-1,66.7%,0,,,,,,,,,,,,
1995,15,5,10,33.3%,12-18,40.0%,130-144,47.4%,1-2,33.3%,0,,,,,,,,,,,,QF (Zagreb)
1994,35,13,22,37.1%,30-45,40.0%,286-351,44.9%,6-1,85.7%,0,,,,,,,,,,,,QF (2x)
1993,35,17,18,48.6%,35-36,49.3%,328-328,50.0%,2-6,25.0%,0,,,,,,,,,,,,QF (3x)
1992,15,5,10,33.3%,12-21,36.4%,123-165,42.7%,1-1,50.0%,0,,,,,,,,,,,,SF (Cesena)
1991,17,3,14,17.6%,11-25,30.6%,123-176,41.1%,0-3,0.0%,0,,,,,,,,,,,,R16 (2x)
1990,34,17,17,50.0%,36-30,54.5%,320-301,51.5%,2-7,22.2%,0,,,,,,,,,,,,QF (3x)
1989,41,23,18,56.1%,52-41,55.9%,432-407,51.5%,4-6,40.0%,0,,,,,,,,,,,,QF (3x)
1988,25,11,14,44.0%,22-31,41.5%,211-252,45.6%,1-4,20.0%,0,,,,,,,,,,,,F (Athens)
1987,16,6,10,37.5%,16-19,45.7%,146-162,47.4%,1-2,33.3%,0,,,,,,,,,,,,QF (Taipei)
1986,10,5,5,50.0%,10-11,47.6%,84-90,48.3%,0-0,-,0,,,,,,,,,,,,QF (Buenos Aires)
1985,7,6,1,85.7%,10-4,71.4%,62-40,60.8%,3-0,100.0%,0,,,,,,,,,,,,W (Manhasset)
Career,315,133,182,42.2%,293-374,43.9%,2766-3114,47.0%,27-35,43.5%,0,,,,,,,,,,,,
